=1	=1	=1	=1
16	0	0	R
32	1	0	A
=2	=2	=2	=2
32	0	0	R
16	0	0	l'aube
16	0	0	de
16	0	0	l'an
64	0	0	deux
8	0	1	mille
16	0	0	pour
64	0	0	les
16	0	0	jeunes
16	0	0	c'est
48	0	0	plus
16	0	0	l'meme
48	0	1	deal
=3	=3	=3	=3
32	0	0	R
16	1	0	Pour
16	0	0	ce-
48	0	0	-lui
16	0	0	qui
16	0	0	trai-
32	0	0	-ne
8	0	0	comme
16	0	0	pour
32	0	0	ce-
16	0	0	-lui
16	0	0	qui
48	0	1	file
=4	=4	=4	=4
32	0	0	R
8	1	0	Tout
48	0	0	droit
32	0	0	de
16	0	0	toute
16	0	0	fa-
16	0	0	-con
32	0	0	y a
8	0	0	plus
16	0	0	d'bou-
48	0	1	-lot
32	1	0	La
16	0	0	boucle
32	0	0	est
=5	=5	=5	=5
16	0	0	bou-
16	0	0	-clée
16	0	0	le
16	0	0	sys-
16	0	0	-tème
32	0	0	a
16	0	0	la
48	0	0	tête
16	0	0	sous
40	0	1	l'eau
32	1	0	Et
16	0	0	les
16	0	0	jeunes
32	0	0	sont
=6	=6	=6	=6
32	0	0	R
16	0	1	saou-
72	0	0	-lés
16	0	1	sa-
16	0	0	-lis
16	0	1	sous
64	0	0	le
16	0	1	si-
40	0	1	-lence
8	1	1	Seule
16	0	0	i-
32	0	1	-ssue
=7	=7	=7	=7
16	0	0	R
32	0	0	la
8	0	0	rue
16	0	0	même
16	0	0	quand
16	0	0	elle
64	0	0	est
16	0	0	en
16	0	1	sens
32	1	0	C'est
16	0	0	pas
16	0	0	un
16	0	0	sou-
32	0	0	-cis
=8	=8	=8	=8
16	0	0	R
32	0	0	pour
16	0	1	ceux
64	0	0	qui
16	0	0	s'y
16	0	0	sont
64	0	0	pré-
16	0	0	-pa-
8	0	0	-rés
16	0	0	si
16	0	0	ca
16	0	1	s'peut
=9	=9	=9	=9
16	0	0	R
16	1	0	Cer-
16	0	0	-tains
64	0	0	d'entre
16	0	0	eux
16	0	0	même
16	0	0	s'en
16	0	0	sor-
16	0	0	-ti-
48	0	0	-ront
8	0	1	mieux
16	1	0	Mais
=10	=10	=10	=10
16	0	0	pour
16	0	0	les
24	0	0	autres
16	0	0	c'est
56	0	0	clair
16	0	0	s'ra
16	0	0	pas
16	0	0	fa-
24	0	1	-cile
=11	=11	=11	=11
16	1	0	Faut
8	0	0	pas
16	0	0	s'voi-
16	0	0	-ler
16	0	0	la
16	0	0	face
32	0	1	il
16	0	0	su-
16	0	0	-ffit
64	0	0	pas
16	0	0	d'vendre
16	0	0	des
48	0	1	kils
=12	=12	=12	=12
8	1	0	Faut
16	0	0	t'nir
64	0	0	l'te-
16	0	1	-rrain
16	0	0	pour
64	0	0	l'len-
16	0	1	-d'main
16	1	0	S'a-
32	0	0	-ssu-
16	0	0	-rer
16	0	0	que
16	0	0	les
16	0	1	siens
32	0	0	aillent
=13	=13	=13	=13
32	0	0	R
8	0	1	bien
32	0	0	é-
16	0	0	-vi-
16	0	0	-ter
