=1	=1	=1	=1
2	0	0	R
=2	=2	=2	=2
2	0	0	R
=3	=3	=3	=3
2	0	0	R
=4	=4	=4	=4
2	0	0	R
=5	=5	=5	=5
2	0	0	R
=6	=6	=6	=6
2	0	0	R
=7	=7	=7	=7
2	0	0	R
=8	=8	=8	=8
2	0	0	R
=9	=9	=9	=9
2	0	0	R
4	0	0	R
8.	0	0	R
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	1	0	Na-
=10	=10	=10	=10
8	0	0	-guère
16	0	0	les
16	0	0	con-
16	0	0	-cierges
16	0	0	é-
16	0	0	-taient
8.	0	0	en
8	0	1	vogue
8.	0	0	R
16	1	0	Dé-
=11	=11	=11	=11
16	0	0	-so-
16	0	0	-rmais
16	0	0	on
16	0	0	les
16	0	0	a
16	0	0	rem-
16	0	0	-pla-
16	0	0	-cées
16	0	0	par
16	0	0	des
16	0	0	di-
16	0	0	-gi-
8	0	1	-codes
16	1	0	Dans
16	0	0	ma
=12	=12	=12	=12
16	0	0	ville
16	0	0	il
16	0	0	n'y
16	0	0	a
16	0	0	-vait
16	0	0	pas
16	0	0	de
8.	0	0	parc-
8	0	1	-mètres
8	0	0	R
16	1	0	Je
16	0	0	voy-
=13	=13	=13	=13
16	0	0	-ais
16	0	0	des
16	0	0	ou-
16	0	0	-vri-
16	0	0	-ers
16	0	0	man-
16	0	0	-ger
16	0	0	des
16	0	0	san-
16	0	0	-dwiches
16	0	0	à
8	0	0	l'om-
8	0	1	-'lette
16	1	0	Le
=14	=14	=14	=14
16	0	1	pa-
16	0	1	-ssée
16	0	0	me
16	0	0	re-
16	0	0	-vient
16	0	0	comme
16	0	0	un
16	0	0	bil-
8.	0	0	R
16	0	0	-bo-
8.	0	0	-quet
16	1	0	La
=15	=15	=15	=15
16	0	1	pré-
16	0	1	-sence
16	0	0	d'un
16	0	1	pa-
16	0	1	-ssé
16	0	0	o-
16	0	0	-mni-
16	0	1	-pré-
16	0	1	-sent
16	0	0	n'est
16	0	0	pas
16	0	1	pa-
8.	0	1	-ssé
16	1	0	Les
=16	=16	=16	=16
8.	0	0	halles
16	0	0	su-
16	0	0	-pplan-
16	0	0	-tées
16	0	0	par
16	0	0	le
8.	0	0	Co-
8	0	1	-stes
16	1	0	L'a-
16	0	0	-llé-
16	0	0	-go-
=17	=17	=17	=17
16	0	0	-rie
16	0	0	des
16	0	0	Ma-
8	0	0	-deleines
8.	0	0	file
32	0	0	à
32	0	0	la
32	0	0	vi-
32	0	0	-te-
8	0	0	-sse
16	0	0	de
4	0	1	Prost
=18	=18	=18	=18
16	1	0	L'air
16	0	0	y
16	0	0	é-
16	0	0	-tait
8	0	1	pur
16	0	1	Pa-
16	0	0	-ris
8.	0	1	plus
16	0	1	beau
8	0	0	R
16	1	0	Dé-
16	0	0	-sor-
=19	=19	=19	=19
32	0	0	-mais
16	0	0	le
32	0	0	ti-
32	0	0	-cket
32	0	0	de
16	0	0	mé-
16	0	1	-tro
16	0	0	aug-
16	0	0	-mente
16	0	0	co-
16	0	0	-mme
16	0	0	le nom-
16	0	0	-bre
