=1	=1	=1	=1
2	0	0	R
=2	=2	=2	=2
2	0	0	R
=3	=3	=3	=3
2	0	0	R
=4	=4	=4	=4
2	0	0	R
=5	=5	=5	=5
2	0	0	R
=6	=6	=6	=6
2	0	0	R
=7	=7	=7	=7
2	0	0	R
=8	=8	=8	=8
2	0	0	R
=9	=9	=9	=9
2	0	0	R
=10	=10	=10	=10
2	0	0	R
=11	=11	=11	=11
2	0	0	R
=12	=12	=12	=12
2	0	0	R
4	0	0	R
16	0	0	R
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	1	0	Et
16	0	0	Gal'
16	0	0	t'es
=13	=13	=13	=13
8	0	0	se-
8	0	1	-xy
16.	0	0	viens
16.	0	0	voir
16	0	0	Ko-
8	0	0	-ssi-
8	0	1	-ty
16	1	0	O-
16	0	0	-ri-
16	0	0	-gi-
16	0	0	-nal
=14	=14	=14	=14
16	0	0	wor-
16	0	0	-ker
8	0	0	man
16	0	0	dans
16	0	0	la
16	0	0	ville
16	0	0	de
8	0	0	Pa-
8	0	1	-ris
8	1	0	Gal's
8	0	0	t'es
=15	=15	=15	=15
16	0	0	jo-
16	0	1	-lie
8	0	0	R
16	0	0	dans
16	0	0	ton
8	0	0	Ver-
16	0	0	-sa-
16	0	1	-ce
8	0	0	R
32	1	0	Viens
32	0	0	t'a-
16	0	0	-mu-
16	0	0	-ser
16	0	0	a-
=16	=16	=16	=16
16	0	0	-vec
16	0	0	un
16	0	0	D
16	0	0	J
8	0	0	top
16	0	0	ce-
16	0	0	-le-
16	0	0	-bri-
8	0	1	-ty
16	1	0	Et
8	0	0	c'est
8	0	0	Wine
=17	=17	=17	=17
8	0	1	bou-
8	0	1	-ge
16	0	0	ca-
16	0	0	-rré
16	0	0	sur
16	0	0	le
8	0	1	groo-
8	0	1	-ve
16	0	0	R
8	1	0	J'aime
16	0	0	les
=18	=18	=18	=18
8	0	0	gal's
16	0	0	su-
16	0	0	-tout
16	0	0	quand
16	0	0	les
8	0	0	gals
8	0	1	mo-
8	0	1	-ve
16	1	0	Hu-
16	0	0	-rry
8	0	1	up
=19	=19	=19	=19
16.	0	0	move-
16.	0	1	up
16.	0	0	move-
8.	0	1	up
16.	2	0	Rough
16	0	0	comme
8	0	0	une
8	0	1	louve
16	1	0	Bouge
16	0	0	ton
=20	=20	=20	=20
16	0	0	corps
16	0	0	de
16	0	0	la
16	0	0	tête
16	0	0	au
16	0	0	pied
8	0	0	R
16	2	0	Et
8	0	0	là
16	0	0	j't'a-
8	0	1	-pprouve
8	1	0	C'est
=21	=21	=21	=21
16.	0	0	move-
16.	0	1	up
16.	0	0	move-
8.	0	1	up
16.	2	0	Gal
8	0	0	wine
16	0	0	ton
16	0	1	bo-
16	0	1	-dy
16	1	0	Mon-
16	0	0	-tre
=22	=22	=22	=22
16	0	0	leur
16	0	0	que
16	0	0	t'as
16	0	0	pas
8	0	0	peur
16	2	0	D'e-
16	0	0	-xci-
8	0	0	-ter
16	0	0	tous
16	0	0	les
16	0	1	ban-
16	0	1	-dits
8	0	0	R
=23	=23	=23	=23
16	1	0	Wine
