=1	=1	=1	=1
16	0	0	R
=2	=2	=2	=2
16	0	0	R
=3	=3	=3	=3
16	0	0	R
=4	=4	=4	=4
16	0	0	R
=5	=5	=5	=5
16	0	0	R
=6	=6	=6	=6
16	0	0	R
=7	=7	=7	=7
16	0	0	R
=8	=8	=8	=8
16	0	0	R
=9	=9	=9	=9
2	0	0	R
4	0	0	R
8.	0	0	R
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	1	0	J't'e-
=10	=10	=10	=10
8.	0	0	-xplique
16	0	0	c'que
8..	0	1	j'kiffe
32	2	0	C'est
16	0	0	de
16	0	0	fu-
16	0	0	-mer
16	0	0	des
8	0	1	spliffs
32	1	0	Et
32	0	0	puis
16	0	0	de
=11	=11	=11	=11
16	0	0	con-
8.	0	0	-struire
32	0	0	des
16.	0	1	riffs
16	2	0	qui
16.	0	0	soient
32	0	0	com-
16	0	0	-pe-
16	0	0	-ti-
16	0	1	-tifs
8	0	0	R
16	1	0	Pou-
16	0	0	-voir
=12	=12	=12	=12
16	0	0	R
16	0	0	faire
32	0	0	de
32	0	0	la
16	0	0	mu-
4	0	1	-sique
16	0	0	tout
16	0	0	en
16	0	0	gar-
16	0	0	-dant
16	0	0	mon
16	0	0	é-
8	0	1	-thique
=13	=13	=13	=13
8	0	0	R
16	1	0	Faire
16	0	0	du
16.	0	1	fric
32	0	0	sans
16	0	0	ja-
16	0	0	-mais
16	0	0	ta-
16	0	0	-cher
16	0	0	l'i-
16	0	0	-mage
16	0	0	de
16	0	0	ma
8	0	1	clique
=14	=14	=14	=14
8.	0	0	R
16	1	0	C'est
8	0	0	fou!
16	0	0	Mais
16	0	0	c'est
16	0	0	comme
6.4	0	1	ca
32	2	0	j'me
16	0	0	nou-
16	0	0	-rris
8	0	1	d'ca
=15	=15	=15	=15
16.	0	0	R
16	2	0	j'ai
16.	0	0	be-
16.	0	0	-soin
16.	0	1	d'ca
16	2	0	Mon
16	0	0	é-
16	0	0	-qui-
16	0	0	-li-
16	0	0	-bre
16	0	0	dé-
16.	0	0	-prend
16.	0	1	d'ca
=16	=16	=16	=16
16	0	0	R
16	1	0	J'suis
16.	0	0	sur
16	0	0	le
16.	0	0	'mic'
16	0	0	puis
16	0	0	mec
16	0	0	et
16	0	0	puis
16.	0	0	j'aime
32	0	1	ca
8	0	0	R
16	1	0	J'aime
16	0	0	quand
=17	=17	=17	=17
16	0	0	ca
16	0	0	fait
8	0	1	Paw
16	0	0	quand
16	0	0	ca
16	0	0	vient
16	0	0	d'en
16.	0	0	bas
32	0	0	et
16	0	0	puis
16	0	0	quand
16	0	0	c'est
16	0	1	pas
8	0	0	R
=18	=18	=18	=18
16.	1	0	Peau-
16	0	0	-fi-
16.	0	1	-né
16	0	0	lé-
8.	0	1	-ché
16	0	0	trop
16	0	0	so-
16	0	0	-phi-
16	0	0	-sti-
16	0	1	-qué
16	0	0	c'est
16	0	0	pé-
16	0	1	-ché
=19	=19	=19	=19
8	0	0	R
16	1	0	J'pré-
16	0	0	-fère
16.	0	0	m'a-
16.	0	0	-ppro-
16	0	1	-cher
16.	0	0	d'la
16	0	0	vé-
16.	0	0	-ri-
16	0	1	-té
16	0	0	sans
16	0	0	tri-
16	0	1	-cher
=20	=20	=20	=20
8	0	0	R
16	1	0	Sans
16	0	0	ja-
16.	0	0	-mais
16	0	0	chan-
16	0	0	-gé
16	0	0	mon
16.	0	0	fu-
16	0	0	-sil
32	0	0	d'é-
6.4	0	1	-paule
16	1	0	Et
16	0	0	puis
=21	=21	=21	=21
16	0	0	gar-
16	0	0	-der
32	0	0	mon
6.4	0	1	role
16	0	0	te-
16	0	0	-nir
16	0	0	la
16	0	1	taule
16	0	0	res-
16	0	0	-ter
16	0	0	en
16.	0	1	pole
32	0	0	po-
16	0	0	-si-
16	0	0	-tion
=22	=22	=22	=22
16.	0	0	R
16	1	0	Peu
16	0	0	con-
16	0	0	-for-
16	0	0	-table
32	0	0	mais
16	0	0	c'est
16	0	0	pas
8	0	0	grave
16	0	0	j'aime
16	0	0	le
16	0	0	cha-
16	0	1	-llenge
8	0	0	R
=23	=23	=23	=23
8	1	0	Por-
16	0	0	-ter
16	0	0	le
32	0	0	maill-
16.	0	0	-ot
32	0	0	fra-
32	0	0	-ppé
16	0	0	du
16	0	0	sceau
16	0	0	de
16	0	0	ceux
16	0	0	qui
16	0	0	dé-
16	0	1	-rangent
16	0	0	est
16	0	0	un
=24	=24	=24	=24
16	0	0	ho-
8	0	0	-nneur
16	0	0	pour
8	0	0	moi
32	1	0	Co-
16	0	0	-mme
32	0	0	pour
16	0	0	tous
16	0	0	mes
16	0	0	com-
16	0	0	-plices
8	0	0	R
16	1	0	Mes
16	0	0	com-
=25	=25	=25	=25
16	0	0	-pères
16	0	0	mes
16	0	0	com-
16	0	1	-parses
8	0	0	R
16	0	0	fa-
32	0	0	-ti-
32	0	0	-gués
16	0	0	de
16	0	0	ce-
16.	0	0	-tte
16.	0	1	farce
16	1	0	On
16	0	0	veut
16	0	0	plus
=26	=26	=26	=26
32	0	0	R
16	0	0	su-
6.4	0	1	-bir
16	0	0	et
16	0	0	con-
16	0	0	-ti-
16	0	0	-nuer
32	0	0	à
32	0	0	jou-
16	0	0	-er
16	0	0	les
6.4	0	1	sbires
16	1	0	Saches
16	0	0	que
32	0	0	ce
=27	=27	=27	=27
16	0	0	à
16	0	0	quoi
16	0	0	j'as-
8	0	1	-pire
16	0	0	c'est
16	0	0	que
16	0	0	les
16	0	0	miens
16.	0	0	res-
32	0	1	-spirent
16	0	0	R
4	0	0	R
=28	=28	=28	=28
1	0	0	R
=29	=29	=29	=29
1	0	0	R
=30	=30	=30	=30
1	0	0	R
=31	=31	=31	=31
1	0	0	R
=32	=32	=32	=32
1	0	0	R
=33	=33	=33	=33
1	0	0	R
=34	=34	=34	=34
1	0	0	R
=35	=35	=35	=35
2	0	0	R
4	0	0	R
16	0	0	R
*>Verse2	*>Verse2	*>Verse2	*>Verse2
16	1	0	A
16	0	0	part
16	0	0	fu-
=36	=36	=36	=36
16	0	0	-mer
16.	0	0	des
32	0	1	spliffs
16	0	0	R
8	0	0	R
32	0	0	mon
32	0	0	pre-
16	0	0	-mier
16.	0	1	kiff
16	0	0	c'est
16.	0	0	de
32	0	0	chi-
8..	0	1	-ller
=37	=37	=37	=37
16	1	0	Res-
16	0	0	-ter
16	0	0	tran-
6.4	0	0	-quille
32	0	0	au
16	0	0	sein
16	0	0	des
8	0	0	miens
16	2	0	m'lai-
16	0	1	-sser
16.	0	0	a-
16	0	1	-ller
16	0	0	à
32	0	0	dé-
=38	=38	=38	=38
32	0	0	R
16	0	0	-ba-
6.4	0	1	-ller
16	0	0	des
16	0	0	conne-
16	0	0	-rie
8	1	0	Par-
16	0	1	-ler
6.4	0	0	juste
16.	0	0	pour
16	0	0	par-
16	0	1	-ler
=39	=39	=39	=39
8	0	0	R
16	2	0	re-
16	0	0	-faire
16	0	0	le
6.4	0	0	monde
32	0	0	a-
16	0	0	-vec
16	0	0	no-
16	0	0	-tre
16	0	0	vi-
16.	0	0	-sion
16	0	0	dé-
32	0	0	-ca-
16	0	1	-lée
=40	=40	=40	=40
8	0	0	R
16	1	0	On
16	0	0	est
16.	0	0	des
6.4	0	0	fous
16	0	0	blo-
16	0	1	-qués
16	0	0	dans
16	0	0	des
16.	0	0	cages
16	0	0	d'es-
32	0	0	-ca-
16	0	1	-liers
=41	=41	=41	=41
8	0	0	R
16	1	0	Pris
16	0	0	en
16.	0	0	o-
16.	0	0	-ta-
16	0	0	-ge
8	0	0	par
16	0	0	l'nombre
16	0	0	é-
16.	0	0	-le-
16	0	1	-vé
16	0	0	de
32	0	0	pa-
=42	=42	=42	=42
16.	0	1	-liers
32	2	0	et
16.	0	0	à
16	0	0	la
8.	0	0	longue
8	0	0	mec
16	1	0	J't'a-
16.	0	0	-ssure
32	0	0	tout
16.	0	0	ca
16	0	0	ca
16	0	1	pèse
=43	=43	=43	=43
8	0	0	R
16	1	0	qua-
16	0	0	-tre
16	0	0	vingt
6.4	0	1	seize
32	0	0	je
16.	0	0	vois
32	0	0	tou-
16.	0	0	-jours
32	0	0	des
8	0	1	braises
32	0	0	a-
16	0	0	-llu-
32	0	0	-mées
=44	=44	=44	=44
8	0	0	R
16.	1	0	Dans
32	0	0	les
16.	0	0	yeux
16	0	0	fa-
16	0	0	-ti-
8	0	1	-gués
16	0	0	des
16	0	0	gosses
16	0	0	du
16.	0	0	quar-
8	0	1	-tier
=45	=45	=45	=45
8	1	0	Pass
16.	0	0	pass
16	0	0	le
16.	0	0	Mic'
16.	1	0	Que
16	0	0	je
16.	0	0	déve-
16.	0	0	-loppe
32	0	0	mes
16.	0	0	i-
16	0	1	-dées
16	0	0	con-
32	0	0	-ta-
=46	=46	=46	=46
16.	0	0	-mi-
8	0	1	-nées
32	2	0	c'est
16	0	0	vrai
16	0	0	j'suis
16	0	0	mi-
6.4	0	1	-né
32	0	0	mais
32	0	0	dé-
16	0	0	-ter-
32	0	0	-mi-
16.	0	1	-né
32	1	0	A
16.	0	0	ne
32	0	0	ja-
=47	=47	=47	=47
16.	0	0	-mais
32	0	0	vrai-
16.	0	0	-ment
32	0	0	la-
16.	0	0	-cher
16	0	0	l'a-
16	0	1	-ffaire
16	0	0	et
16	0	0	qu'est-
16	0	0	c'tu
16.	0	0	peux
16.	0	1	faire?
32	1	0	Et
16.	0	0	j'suis
32	0	0	pas
=48	=48	=48	=48
16.	0	0	la
16	0	0	pour
16	0	0	prendre
16	0	0	des
6.4	0	0	coups
32	2	0	ou
16	0	0	bien
16	0	0	meme
32	0	0	pour
16	0	0	me
8	0	1	taire
16	1	0	Si
16	0	0	le
16	0	0	F
=49	=49	=49	=49
16.	0	0	N
16	0	0	bran-
16	0	0	-dit
32	0	0	sa
16.	0	0	flamme
32	2	0	j'suis
16.	0	0	la
32	0	0	pour
16	0	0	l'é-
16	0	0	-teindre
16	0	0	c'est
6.4	0	1	clair
32	1	0	Pas
16.	0	0	d'é-
32	0	1	-clair
=50	=50	=50	=50
8	0	0	R
16	0	0	d'gé-
8	0	1	-nie
16	0	0	juste
16	0	0	un
16	0	0	ly-
16	0	0	-ricks
16	0	0	qui
16	0	0	jai-
8	0	1	-llit
16	1	0	De
16	0	0	mon
16	0	0	es-
=51	=51	=51	=51
16.	0	1	-prit
32	0	0	dé-
16	0	0	-di-
16	0	0	-ca-
16	0	0	-cé
16	0	0	à
16	0	0	mon
16.	0	0	po-
32	0	0	-ssé
16	0	0	R
8	0	0	R
4	0	0	R
=52	=52	=52	=52
1	0	0	R
=53	=53	=53	=53
1	0	0	R
=54	=54	=54	=54
1	0	0	R
=55	=55	=55	=55
1	0	0	R
=56	=56	=56	=56
1	0	0	R
=57	=57	=57	=57
1	0	0	R
=58	=58	=58	=58
1	0	0	R
=59	=59	=59	=59
2	0	0	R
4	0	0	R
8.	0	0	R
*>Verse3	*>Verse3	*>Verse3	*>Verse3
16	1	0	Con-
=60	=60	=60	=60
8	0	0	-struire
16	0	0	est
16	0	0	ma
16	0	0	seule
16	0	0	ex-
8	0	0	-cuse
16.	0	0	R
32	2	0	au
16.	0	0	fait
32	0	0	de
8	0	0	prendre
16	0	0	de
16	0	1	l'age
=61	=61	=61	=61
8	0	0	R
8	1	0	Si
8	0	0	j'sens
16	0	0	pas
16	0	0	les
16	0	0	miens
16	0	0	au-
16	0	0	-tour
16	0	0	de
8	0	0	moi
32	2	0	Pu-
16.	0	0	-tain
=62	=62	=62	=62
16.	0	0	C'est
16.	0	0	l'nau-
8	0	1	-frage
16	1	0	a-
16	0	0	-ssu-
8	0	1	-ré
16	0	0	c'est
8	0	0	vrai!
16	0	0	J'me
8	0	0	sens
32	0	0	ra-
32	0	0	-ssu-
=63	=63	=63	=63
8.	0	1	-ré
16	0	0	qu'en
16.	0	0	pré-
16.	0	0	-sence
16	0	0	de
16.	0	0	ceux
16	0	0	que
16.	0	0	j'aime
8	1	0	J'veux
16	0	0	m'a-
16	0	0	-ssu-
=64	=64	=64	=64
8.	0	1	-rer
16	0	0	que
8	0	0	tout
16	0	0	c'que
16	0	0	j'ba-
8	0	0	-lance
16.	0	0	soit
16	0	0	a-
16.	0	0	-pprou-
8	0	1	-vé
=65	=65	=65	=65
16	0	0	R
16	1	0	Meme
16	0	0	si
16	0	0	j'ai
16	0	0	rien
16	0	0	à
16	0	0	prou-
8	0	1	-ver
16	0	0	j'veux
16	0	0	que
16	0	0	tous
16	0	0	mes
