=1	=1	=1	=1
1	0	0	R
=2	=2	=2	=2
1	0	0	R
=3	=3	=3	=3
1	0	0	R
=4	=4	=4	=4
1	0	0	R
=5	=5	=5	=5
1	0	0	R
=6	=6	=6	=6
1	0	0	R
=7	=7	=7	=7
1	0	0	R
=8	=8	=8	=8
1	0	0	R
=9	=9	=9	=9
2	0	0	R
4	0	0	R
8	0	0	R
32	0	0	R
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	1	0	Dans
32	0	0	ce
=10	=10	=10	=10
32	0	0	R
16.	0	0	rap
8	0	1	biz
8	0	0	R
16	0	0	on
32	0	0	est
32	0	0	a-
16	0	0	-rri-
16	0	0	-vé
16	0	0	les
16	0	0	mains
16	0	0	dans
16	0	0	les
16.	0	1	poches
32	1	0	A
=11	=11	=11	=11
16	0	0	l'é-
8	0	0	-poque
16	0	0	c'é-
16	0	0	-tait
16	0	0	en-
8	0	0	-voie
16	0	1	l'beat
16	0	0	on
16	0	0	fait
16	0	0	l'truc
16	0	0	à
16	0	1	l'a-
8	0	1	-rrache
=12	=12	=12	=12
16.	0	0	R
32	1	0	Et
16.	0	0	laisse
32	0	0	par-
16	0	0	-ler
16	0	0	la
16	0	1	ra-
8.	0	1	-ge
32	2	0	Moi
32	0	0	et
16	0	0	mes
16	0	0	potes
16	0	0	on
16	0	0	veut
16	0	0	gra-
=13	=13	=13	=13
16	0	0	-ver
16	0	0	ca
16	0	0	dans
16	0	0	la
8	0	1	roche
32	1	0	On
32	0	0	a
16	0	0	la
8	0	1	dalle
16	0	0	et
16	0	0	rien
8	0	0	dans
8	0	0	l'bide
=14	=14	=14	=14
8	0	0	R
16	1	0	De-
8	0	1	-puis
16	0	0	le
16	0	0	blaze
16	0	0	a
16	0	0	tour-
16.	0	1	-né
32	0	0	tu
16	0	0	co-
16	0	0	-nnais
16	0	0	la
8	0	1	suite
=15	=15	=15	=15
8	0	0	R
16	1	0	Tout
16	0	0	ca
16	0	0	est
16	0	0	pa-
16	0	1	-ssé
16	0	0	bien
16.	0	1	vite
16	0	0	où
16.	0	0	c'est
8	0	0	qu'j'en
8	0	1	suis?
=16	=16	=16	=16
16	0	0	R
16	1	0	Dans
16	0	0	la
16	0	0	vraie
8.	0	1	vie
8	0	1	oui
16	0	0	c'est
16	0	0	de
16.	0	0	ca
8	0	0	dont
32	0	0	j'parle
16	0	0	R
=17	=17	=17	=17
8	0	0	R
16	1	0	Ce
16	0	0	s'rait
8	0	0	men-
16	0	0	-tir
16	0	0	si
16	0	0	j'di-
16	0	0	-rais
16	0	0	que
16	0	0	c'est
16	0	0	pa-
16	0	0	-reil
8	0	0	R
=18	=18	=18	=18
16	0	0	R
16	1	0	Dé-
16	0	0	-ja
16	0	0	j'suis
16	0	0	moins
16	0	0	sur
16	0	0	la
8	0	0	paille
16	2	0	et
16	0	0	j'suis
16	0	0	sor-
16.	0	0	-ti
16.	0	1	d'mon
16	0	1	trou
=19	=19	=19	=19
16	0	0	R
16	1	0	Voir
16	0	0	du
16	0	0	pa-
16	0	0	-ys
16	0	0	et
16.	0	0	vivre
32	0	0	des
16	0	0	mo-
16	0	0	-ments
16	0	0	fort
16	0	0	a-
8	0	0	-vec
16	0	1	mon
16	0	1	crew
=20	=20	=20	=20
16	0	0	R
16	1	0	Ki-
16	0	0	-ffer
16	0	0	en-
8	0	0	-tre
8	0	1	nous
16.	0	0	R
32	0	0	et
16	0	0	ren-
16	0	0	-dre
16	0	0	fiers
16	0	0	les
16	0	0	no-
16	0	1	-tres
=21	=21	=21	=21
16.	0	0	R
32	2	0	Qui
16	0	0	nous
16	0	0	ont
16	0	0	co-
16	0	0	-nnu
16	0	0	et
16	0	0	sou-
8	0	0	-t'nu-
16	0	0	a-
16	0	0	-vant
16	0	0	tous
16	0	0	les
