=1	=1	=1	=1
32	0	0	R
=2	=2	=2	=2
32	0	0	R
=3	=3	=3	=3
32	0	0	R
=4	=4	=4	=4
32	0	0	R
=5	=5	=5	=5
32	0	0	R
=6	=6	=6	=6
32	0	0	R
=7	=7	=7	=7
32	0	0	R
=8	=8	=8	=8
32	0	0	R
=9	=9	=9	=9
32	0	0	R
=10	=10	=10	=10
32	0	0	R
=11	=11	=11	=11
32	0	0	R
=12	=12	=12	=12
32	0	0	R
=13	=13	=13	=13
2	0	0	R
4	0	0	R
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	1	0	Pas
16	0	0	l'temps
32	0	0	pour
16	0	0	les
=14	=14	=14	=14
8	0	0	re-
8	0	1	-grets
8	0	0	R
16	2	0	les
16	0	0	e-
16	0	0	-rreurs
32	0	0	n'a-
8	0	0	-ppar-
8	0	1	-tiennent
16	0	0	qu'à
16	0	0	nous
=15	=15	=15	=15
8	0	1	mêmes
8	1	0	Né
16	0	0	pour
16	0	0	am'-
16	0	0	-ner
32	0	0	ma
8	0	0	part
16	0	0	de
48	0	0	pro-
8	0	1	-grès
32	2	0	Pour
16	0	0	qu'à
=16	=16	=16	=16
16	0	0	mon
8	0	0	tour
32	0	0	j'pro-
16	0	1	-crée
8	0	0	R
16	0	0	R
32	1	0	De
16	0	0	ceux
16	0	0	pour
16	0	0	qui
16	0	0	le
16	0	0	jour
16	0	0	porte
=17	=17	=17	=17
32	0	0	R
16	0	0	con-
24	0	1	-seil
32	2	0	quand
16	0	0	c'est
16	0	0	la
8	0	1	nuit
16	0	0	qu'on
48	0	0	a-
8	0	1	-git
48	1	0	Traine
=18	=18	=18	=18
8	0	0	R
16	0	0	ma
16	0	0	chair
16	0	0	et
32	0	0	mon
32	0	0	o-
8	0	0	-ssa-
16	0	0	-ture
32	0	0	vers
16	0	0	n'im-
48	0	0	-porte
16	0	0	quelle
16	0	0	la-
16	0	0	-ti-
=19	=19	=19	=19
16	0	0	-tude
32	2	0	Sous
16	0	0	n'im-
16	0	0	-porte
8	0	0	quelle
16	0	0	de-
24	0	1	-gré
16	1	0	Le
16	0	0	monde
16	0	0	est
16	0	1	vaste
8	0	0	R
=20	=20	=20	=20
16	0	0	R
32	1	0	Pour
16	0	0	cer-
16	0	0	-tains
8	0	0	trop
16	0	0	petit
48	0	0	sé-
32	0	0	-pa-
16	0	0	en
32	0	0	R
16	0	0	deux
4	0	1	castes
=21	=21	=21	=21
32	0	0	R
16	2	0	Ceux
16	0	0	qui
16	0	0	ré-
16	0	1	-pandent
16	0	0	d'l'a-
16	0	0	-mour
32	0	0	et
8	0	0	ceux
16	0	0	qui
16	0	0	dé-
16	0	1	-pendent
32	0	0	de
16	0	0	la
16	0	0	haine
=22	=22	=22	=22
8	0	0	R
16	1	0	On
16	0	0	y
16	0	0	gran-
16	0	0	-dit
16	0	0	en
16	0	0	per-
16	0	0	-dant
16	0	0	l'i-
16	0	0	-no-
16	0	1	-cence
8	0	0	R
16	2	0	Que
16	0	0	cha-
=23	=23	=23	=23
16	0	0	-cun
16	0	0	d'nous
16	0	0	po-
16	0	0	-ssède
16	0	0	à
16	0	0	sa
16	0	0	nai-
16	0	1	-ssance
8	0	0	R
16	1	0	Com-
16	0	0	-bat
16	0	0	nos
16	0	0	fai-
8	0	0	-blesses
=24	=24	=24	=24
16	0	0	R
16	2	0	For-
16	0	0	-ti-
16	0	0	-fie
16	0	0	mon
16	0	0	men-
24	0	1	-tal
16	1	0	San-
16	0	0	-cti-
16	0	0	-fie
16	0	0	mon
16	0	1	ame
16	0	0	mon
16	0	0	e-
=25	=25	=25	=25
40	0	1	-ssence
64	1	0	A-
8	0	0	-dam
80	0	0	stru-
16	0	0	-cture
16	0	0	mon
16	0	0	A
16	0	0	D
16	0	1	N
8	0	0	R
=26	=26	=26	=26
16	1	0	Né
16	0	0	non
16	0	0	pas
16	0	0	pour
40	0	0	vivre
56	0	0	seul
16	2	0	Cause
16	0	0	au
16	0	0	nom
16	0	0	de
16	0	0	l'u-
16	0	0	-ni-
=27	=27	=27	=27
8	0	0	-ver-
24	0	1	-sel
8	1	0	Puise
16	0	0	mes
16	0	0	in-
16	0	0	-stru-
8	0	0	-ments
16	0	0	dans
16	0	0	la
8	0	0	flore
=28	=28	=28	=28
16	0	0	pour
16	0	0	ma
8	0	1	faune
16	1	0	Dans
16	0	0	la
16	0	0	rue
32	0	0	pour
8	0	0	mes
16	0	0	gens
32	0	0	aux
40	0	0	in-
8	0	0	-stincts
=29	=29	=29	=29
8	0	1	d'fauves
16	1	0	A
32	0	0	nous
32	0	0	les
36	0	1	fautes
16	0	0	quand
16	0	0	les
48	0	0	pul-
16	0	1	-sions
16	0	0	l'em-
16	0	0	-portent
=30	=30	=30	=30
16	0	0	sur
16	0	0	la
8	0	0	re-
8	0	0	-fle-
8	0	1	-xion
8	0	0	R
16	1	0	Te
16	0	0	privent
32	0	0	de
16	0	0	con-
8	0	1	-trole
=31	=31	=31	=31
16	0	0	R
16	0	0	pri-
16	0	0	-mi-
16	0	0	-tive
16	0	0	ré-
16	0	0	-a-
32	0	1	-ction
16	0	0	R
8	0	0	R
16	2	0	Pré-
16	0	0	-viens
16	0	0	les
24	0	0	autres
=32	=32	=32	=32
16	1	0	Que
16	0	0	veux-
8	0	0	tu
8	0	0	que
16	0	0	j'dise
16	0	0	quand
16	0	0	s'en-
40	0	1	-foncent
32	1	0	les
=33	=33	=33	=33
32	0	0	R
8	0	0	têtes
16	0	0	de
64	0	0	mon
16	0	0	qua-
16	0	0	-tre
16	0	0	vingt
64	0	0	douze
16	0	0	en-
8	0	1	-fance
8	2	0	Trop
8	0	0	s'plaisent
=34	=34	=34	=34
16	0	0	à
16	0	0	ti-
16	0	0	-ser
16	0	0	et
8	0	0	vo-
16	0	1	-mir
8	1	0	Spliffs
16	0	0	a-
16	0	0	-vant
48	0	0	d'dor-
=35	=35	=35	=35
4	0	1	-mir
16	0	0	R
16	0	0	Et
16	0	0	dès
16	0	0	le
16	0	0	ma-
16	0	0	-tin
8	0	0	re-
4	0	0	-mise
=36	=36	=36	=36
4	0	0	R
8	0	0	R
16	1	0	Les
16	0	0	e-
8	0	0	-rreurs
16	0	0	n'a-
16	0	0	-ppar-
8	0	1	-tiennent
16	0	0	qu'à
16	0	0	nous
=37	=37	=37	=37
4	0	1	mêmes
8	0	0	R
16	1	0	Pas
48	0	0	l'temps
16	0	0	pour
16	0	0	les
80	0	0	re-
56	0	0	-grets
=38	=38	=38	=38
1	0	0	R
=39	=39	=39	=39
1	0	0	R
=40	=40	=40	=40
1	0	0	R
=41	=41	=41	=41
1	0	0	R
=42	=42	=42	=42
1	0	0	R
=43	=43	=43	=43
1	0	0	R
=44	=44	=44	=44
1	0	0	R
=45	=45	=45	=45
2	0	0	R
4	0	0	R
8	0	0	R
*>Verse2	*>Verse2	*>Verse2	*>Verse2
16	1	0	On
=46	=46	=46	=46
16	0	0	dit
16	0	0	qu'la
16	0	0	vie
16	0	0	des
8	0	0	jeunes
16	0	0	de
16	0	0	la
16	0	0	rue
32	0	0	est
8	0	0	tri-
16	0	0	-ste
32	0	0	mais
16	0	0	qui
16	0	0	tu
=47	=47	=47	=47
16	0	0	R
40	0	1	blames?
64	1	0	J'ai
16	0	0	pas
16	0	0	b'soin
64	0	0	d'tes
16	0	1	larmes
16	0	0	où
32	0	0	est
32	0	0	le
16	0	1	drame?
8	0	0	R
=48	=48	=48	=48
16	0	0	R
32	1	0	De-
16	0	0	-puis
