=1	=1	=1	=1
16	0	0	R
=2	=2	=2	=2
16	0	0	R
=3	=3	=3	=3
16	0	0	R
=4	=4	=4	=4
16	0	0	R
=5	=5	=5	=5
16	0	0	R
=6	=6	=6	=6
16	0	0	R
=7	=7	=7	=7
16	0	0	R
=8	=8	=8	=8
16	0	0	R
=9	=9	=9	=9
16	0	0	R
=10	=10	=10	=10
16	0	0	R
=11	=11	=11	=11
16	0	0	R
=12	=12	=12	=12
16	0	0	R
=13	=13	=13	=13
16	0	0	R
=14	=14	=14	=14
16	0	0	R
=15	=15	=15	=15
16	0	0	R
=16	=16	=16	=16
16	0	0	R
=17	=17	=17	=17
16	0	0	R
=18	=18	=18	=18
16	0	0	R
=19	=19	=19	=19
16	0	0	R
=20	=20	=20	=20
16	0	0	R
=21	=21	=21	=21
16	0	0	R
=22	=22	=22	=22
16	0	0	R
=23	=23	=23	=23
16	0	0	R
=24	=24	=24	=24
16	0	0	R
=25	=25	=25	=25
16	0	0	R
=26	=26	=26	=26
16	0	0	R
=27	=27	=27	=27
16	0	0	R
=28	=28	=28	=28
16	0	0	R
=29	=29	=29	=29
16	0	0	R
=30	=30	=30	=30
16	0	0	R
=31	=31	=31	=31
2	0	0	R
4	0	0	R
16	0	0	R
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	1	0	J'é-
16	0	0	-tais
16	0	0	li-
=32	=32	=32	=32
16	0	0	-vreur
16	0	0	de
16	0	0	pi-
16	0	1	-zzas
4	0	0	R
16	0	0	R
16	0	0	près
16	0	0	de
16	0	0	l'ha-
16	0	0	-cien-
16	0	1	-da
16	2	0	Ou
16	0	0	la
=33	=33	=33	=33
16	0	0	chi-
8	0	1	-ca
16	0	0	du
16	0	0	nom
16	0	0	d'E-
16	0	0	-sme-
16	0	0	-ra-
16	0	1	-lda
16	0	0	fai-
16	0	0	-sait
16	0	0	la
8	0	0	fie-
8	0	1	-sta
=34	=34	=34	=34
16	0	0	R
16	1	0	Comme
16	0	0	par
16	0	0	ha-
16	0	0	-sard
16	0	0	elle
16	0	0	me
16	0	0	co-
16	0	0	-mmande
16	0	0	un
16	0	0	pan-
16	0	0	cho-
16	0	0	-ri-
8.	0	1	-zo
=35	=35	=35	=35
16	1	0	J'ai
16	0	0	com-
16	0	0	-pris
16	0	0	l'com-
16	0	1	-plot
16	0	0	cuan-
16	0	1	-do
16	0	0	la
16	0	0	fille
16	0	0	me
16	0	0	dit
16	0	0	te
16	0	0	quie-
16	0	1	-ro
8	0	0	R
=36	=36	=36	=36
16	0	0	R
16	1	0	A-
16	0	0	-mi-
8.	0	1	-go
16	0	0	dans
16	0	0	le
16	0	0	ba-
16	0	1	-rrio
16	0	0	on
16	0	0	s'pa-
16	0	0	-va-
16	0	0	-nait
8	0	1	sec
=37	=37	=37	=37
8	2	1	Sexe
16	0	1	six
16	0	0	jours
8	0	0	sur
16	0	1	sept
16	2	0	Te-
8	0	0	-qui-
16	0	0	-la
16	0	0	pas
16	0	0	d'prise
16	0	0	de
8	0	1	tête
=38	=38	=38	=38
8	0	0	R
16	1	0	Mais
16	0	0	ca
16	0	0	n'a
16	0	0	pas
16	0	0	plus
16	0	0	à
16	0	0	cer-
16	0	0	-tains
16	0	0	pi-
16	0	0	-sto-
16	0	0	-le-
8.	0	1	-ros
=39	=39	=39	=39
16	2	0	Ba-
16	0	0	-ga-
16	0	0	-rreurs
16	0	0	tel
32	0	1	Va-
32	0	0	-ra
8.	0	1	R
16	0	0	de
16	0	0	vrais
16	0	0	têtes
16	0	0	de
32	0	1	vils
32	0	0	-ros
16	0	1	R
8	0	0	R
=40	=40	=40	=40
16	0	0	R
16	1	0	Ex-
16	0	0	-pul-
16	0	0	-sé
16	0	0	de
16	0	0	la
8.	0	0	ville
16	0	0	tel
16	0	0	un
16	0	0	sans
8.	0	1	pap'
16	2	0	Seul
=41	=41	=41	=41
16	0	0	R
16	0	0	sans
16	0	0	ba-
16	0	0	-ri-
16	0	0	-llet
16	0	0	i-
16	0	0	-so-
8	0	0	-lé
16	0	0	tel
16	0	0	un
16	0	0	ca-
16	0	0	-tho
16	0	0	sans
8	0	1	pape
=42	=42	=42	=42
8	0	0	R
16	1	0	Quand
16	0	0	je
16	0	0	pense
16	0	0	à
16	0	0	toi
16	0	0	Ra-
8	0	0	-chel
16	0	0	E-
16	0	0	-sme-
8	0	0	-ra-
16	0	1	-lda
16	2	0	J'en
=43	=43	=43	=43
16	0	0	ai
16	0	0	la
16	0	0	go-
16	0	0	-rge
16	0	0	se-
16	0	0	-rrée
16	0	0	mais
8.	0	0	bon
16	0	0	j'ai
16	0	0	des
8	0	0	Va-
8	0	1	-lda
=44	=44	=44	=44
1	0	0	R
=45	=45	=45	=45
1	0	0	R
=46	=46	=46	=46
1	0	0	R
=47	=47	=47	=47
1	0	0	R
=48	=48	=48	=48
1	0	0	R
=49	=49	=49	=49
1	0	0	R
=50	=50	=50	=50
1	0	0	R
=51	=51	=51	=51
2	0	0	R
4	0	0	R
16	0	0	R
*>Verse2	*>Verse2	*>Verse2	*>Verse2
16	1	0	On
16	0	0	est
16	0	0	en
=52	=52	=52	=52
16	0	0	Ca-
16	0	0	-li-
16	0	0	-for-
16	0	0	-nie
4	0	0	R
16	0	0	bien
16	0	0	a-
16	0	0	-vant
16	0	0	B-
8	0	1	watch
8	1	0	J'marche
=53	=53	=53	=53
16	0	0	so-
8.	0	0	-lo
16	0	0	tel
16	0	0	un
16	0	0	or-
16	0	0	-phe-
8	0	0	-lin
16	0	0	dans
16	0	0	la
16	0	0	poche
16	0	0	de
8	0	1	Bihac
=54	=54	=54	=54
8	0	0	R
16	1	0	Y'a
16	0	0	des
8	0	0	noichs
8	0	0	Kwai
16	0	0	Chang
16	0	0	Caine
16	2	0	Et
16	0	0	des
8	0	0	grin-
16	0	1	-gos
16	0	0	dé-
=55	=55	=55	=55
16	0	0	-grin-
8.	0	1	-golent
16	2	0	Y'a
16	0	0	des
8	0	0	pon-
8	0	1	-chos
16	0	0	sous
16	0	0	les
16	0	0	som-
16	0	0	-bre-
8	0	1	-ros
=56	=56	=56	=56
16	0	0	R
16	1	0	A
16	0	0	con-
16	0	0	-tre-
4	0	0	jour
16	0	0	E-
16	0	0	-sme-
16	0	0	-ra-
16	0	0	-lda
32	0	0	dé-
8..	0	1	-esse
=57	=57	=57	=57
16	2	0	Les
16	0	0	yeux
16	0	0	pleins
16	0	0	de
32	0	0	li-
8..	0	1	-esse
16	0	0	sort
16	0	0	du
16	0	0	po-
16	0	0	-ney
8	0	0	ex-
8	0	1	-press
=58	=58	=58	=58
16	0	0	R
16	1	0	Elle
16	0	0	me
16	0	0	dit
16	0	0	va-
16	0	0	-mo-
8.	0	1	-nos
16	0	0	je
16	0	0	ré-
16	0	0	-ponds
8.	0	1	yes
16	1	0	C'é-
=59	=59	=59	=59
16	0	0	-tait
16	0	0	Bo-
16	0	0	-nnie
16	0	0	et
8.	0	1	Claude
16	0	0	dans
16	0	0	No-
16	0	0	-tre
16	0	0	-Dame
16	0	0	de
8	0	0	Bar-
8	0	1	-bès
=60	=60	=60	=60
16	0	0	R
16	1	0	Ha-
16	0	0	-sta
16	0	0	la
16	0	0	vi-
8.	0	1	-sta
16	0	0	ge-
32	0	0	-rique
16	0	0	R
32	0	0	fi-
16	0	0	R
16.	0	1	-nal
16.	2	0	Ha-
16	0	0	-sta
=61	=61	=61	=61
16	0	0	R
16	0	0	la
16	0	0	pro-
16	0	0	-xi-
16	0	1	-ma
16	0	0	on
16	0	0	part
16	0	0	vers
8	0	0	l'ou-
8	0	0	-est
16	0	0	à
16	0	0	che-
8	0	1	-val
=62	=62	=62	=62
32	0	0	R
16	1	0	Tout
32	0	0	le
16	0	0	monde
16	0	0	se
16	0	0	lève
16	0	0	il
16	0	0	n'y'a
16	0	0	plus
16	0	0	per-
16	0	0	-sonne
16	0	0	dans
16	0	0	le
16	0	0	ci-
8	0	1	-né
16	1	0	Le
=63	=63	=63	=63
16	0	0	film
16	0	0	est
8	0	0	ter-
16	0	0	-mi-
16	0	1	-né
8	0	0	R
16	0	0	R
16	0	0	mais
16	0	0	j'en-
16	0	0	-tends
8	0	0	chan-
8	0	1	-ter
