=1	=1	=1	=1
8	0	0	R
=2	=2	=2	=2
8	0	0	R
=3	=3	=3	=3
8	0	0	R
=4	=4	=4	=4
8	0	0	R
=5	=5	=5	=5
8	0	0	R
=6	=6	=6	=6
8	0	0	R
=7	=7	=7	=7
8	0	0	R
=8	=8	=8	=8
8	0	0	R
=9	=9	=9	=9
8	0	0	R
=10	=10	=10	=10
8	0	0	R
=11	=11	=11	=11
8	0	0	R
=12	=12	=12	=12
8	0	0	R
=13	=13	=13	=13
8	0	0	R
=14	=14	=14	=14
8	0	0	R
=15	=15	=15	=15
8	0	0	R
=16	=16	=16	=16
8	0	0	R
=17	=17	=17	=17
8	0	0	R
=18	=18	=18	=18
8	0	0	R
=19	=19	=19	=19
8	0	0	R
=20	=20	=20	=20
8	0	0	R
=21	=21	=21	=21
8	0	0	R
=22	=22	=22	=22
8	0	0	R
=23	=23	=23	=23
8	0	0	R
=24	=24	=24	=24
8	0	0	R
=25	=25	=25	=25
8	0	0	R
=26	=26	=26	=26
8	0	0	R
=27	=27	=27	=27
8	0	0	R
=28	=28	=28	=28
8	0	0	R
=29	=29	=29	=29
8	0	0	R
=30	=30	=30	=30
8	0	0	R
=31	=31	=31	=31
8	0	0	R
=32	=32	=32	=32
8	0	0	R
=33	=33	=33	=33
8	0	0	R
=34	=34	=34	=34
8	0	0	R
=35	=35	=35	=35
8	0	0	R
=36	=36	=36	=36
8	0	0	R
=37	=37	=37	=37
1	0	0	R
2	0	0	R
4	0	0	R
*>Verse1	*>Verse1	*>Verse1	*>Verse1
4	1	0	Je
=38	=38	=38	=38
2	0	0	sors
4	0	0	de
4	0	0	chez
2	0	1	moi
2	0	0	R
=39	=39	=39	=39
4	0	0	R
4	2	0	Sa-
4	0	0	-lut
4	0	0	mon
2	0	1	gars
4	0	0	R
4	1	0	Tu
=40	=40	=40	=40
4..	0	0	sors
4	0	0	de
3.2	0	0	R
4.	0	0	R
4	2	0	dis
8	0	0	moi
4	0	0	R
=41	=41	=41	=41
8	0	0	R
4	0	0	Co-
4	0	0	-mment
4	0	0	ca
8	0	1	va?
2	0	0	R
8	0	0	R
4	1	0	Tu
8	0	0	veux
=42	=42	=42	=42
2	0	0	R
4	0	0	qu'j'ten
4	0	0	-re-
2	0	0	-gi-
4	0	0	-stre
4	0	0	les
=43	=43	=43	=43
4	0	0	nou-
4..	0	0	-veaux
16	0	1	sons
4	0	0	R
8.	0	0	R
4..	1	0	Le
4.	0	0	der-
=44	=44	=44	=44
4	0	0	-nier
4	0	0	Mi-
4	0	0	-ni-
4	0	0	-stè-
4	0	0	-re
4	0	0	et
4	0	0	la
4	0	0	pre-
=45	=45	=45	=45
4	0	0	-mière
2	0	0	con-
4..	0	0	-su-
4	0	0	-lta-
3.2	0	1	-tion
4	1	0	Tu
=46	=46	=46	=46
8	0	0	veux
8	0	0	etre
4	0	0	à
4	0	0	la
4	0	1	page
4	0	0	a-
4	0	0	-vant
4	0	0	de
4	0	0	re-
=47	=47	=47	=47
4	0	0	-join-
4.	0	0	-dre
3.2	0	0	l'en-
3.2	0	0	-tou-
4	0	1	-rage
2	0	0	R
=48	=48	=48	=48
3.2	1	0	De
3.2	0	0	ceux
4.	0	0	qui
2	0	0	boivent
4.	0	0	R
8	0	0	du
=49	=49	=49	=49
4	0	0	R
4.	0	0	dou-
2	0	0	-ze ans
8	0	1	d'age
4	0	0	R
4.	0	0	R
8	1	0	Pri-
=50	=50	=50	=50
8.	0	0	R
4	0	0	-so-
4	0	0	-nnier
4	0	0	R
4..	0	0	quar-
4	0	1	-tier
4.	2	0	pris
=51	=51	=51	=51
4	0	0	R
4	0	0	dans
4	0	0	la
4.	0	0	fonse-
8	0	1	-dé
4	0	0	R
4	0	0	R
4	1	0	Plus
=52	=52	=52	=52
2	0	0	rien
4	0	0	ne
4	0	0	m'é-
2	0	0	-tonne
4	2	0	plus
4	0	0	rien
=53	=53	=53	=53
4	0	0	R
2	0	0	ne
4	0	0	m'fait
4	0	0	ban-
4	0	1	-der
8.	0	0	R
4	1	0	De-
16	0	0	-puis
=54	=54	=54	=54
4..	0	0	R
4	0	0	qu'j'ai
3.2	0	0	la
2	0	1	tête
4	0	0	co-
4	0	0	-llée
=55	=55	=55	=55
4	0	0	sur
2	0	0	une
4	0	0	po-
2	0	1	-chette
8	0	0	R
4.	1	0	Cer-
=56	=56	=56	=56
8	0	0	R
4	0	0	-taines
4	0	0	font
4	0	0	sem-
8	0	0	-blant
