**recip	**break	**rhyme	**lyrics
=13	=13	=13	=13
2	.	.	.
4	.	.	.
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	4	.	Pas
16.	.	.	l'temps
32	.	.	pour
16	.	.	les
=14	=14	=14	=14
8	.	.	re-
8	.	A	-grets
8	.	.	.
16	3	.	les
16	.	.	e-
16.	.	.	-rreurs
32	.	.	n'a-
8	.	.	-ppar-
8	.	A	-tiennent
16	.	.	qu'à
16	.	.	nous
=15	=15	=15	=15
8	.	A	mêmes
8	4	.	Né
16	.	.	pour
16	.	.	am'-
16.	.	.	-ner
32	.	.	ma
8	.	.	part
16	.	.	de
16.	.	A	pro-
8	.	A	-grès
32	3	.	Pour
16	.	.	qu'à
=16	=16	=16	=16
16	.	.	mon
8	.	A	tour
8	.	A	j'pro-
16	.	A	-crée
8	.	.	.
16.	.	.	.
32	4	.	De
16	.	.	ceux
16	.	.	pour
16	.	.	qui
16	.	.	le
16	.	A	jour
16	.	.	porte
=17	=17	=17	=17
32	.	.	.
16.	.	.	con-
8..	.	A	-seil
32	3	.	quand
16	.	.	c'est
16	.	A	la
8	.	A	nuit
16	.	.	qu'on
16.	.	A	a-
8	.	A	-git
16.	4	.	Traine
=18	=18	=18	=18
8	.	.	.
16	.	.	ma
16	.	.	chair
16	.	.	et
32	.	.	mon
32	.	.	o-
8	.	.	-ssa-
16.	.	.	-ture
32	.	.	vers
16	.	.	n'im-
16.	.	.	-porte
16.	.	.	quelle
16	.	.	la-
16	.	.	-ti-
=19	=19	=19	=19
16.	.	.	-tude
32	3	.	Sous
16	.	.	n'im-
16	.	.	-porte
8	.	.	quelle
16	.	.	de-
8.	.	A	-gré
16	4	.	Le
16	.	.	monde
16	.	.	est
16	.	A	vaste
8	.	.	.
=20	=20	=20	=20
16.	.	.	.
32	4	.	Pour
16	.	.	cer-
16	.	.	-tains
8	.	.	trop
16.	.	.	petit
16.	.	.	sé-
32	.	.	-pa-
16	.	.	-ré
32	.	.	en
16	.	.	deux
4	.	A	castes
=21	=21	=21	=21
32	.	.	.
16.	3	.	Ceux
16	.	.	qui
16	.	A	ré-
16	.	A	-pandent
16.	.	.	d'l'a-
16	.	.	-mour
32	.	.	et
8	.	.	ceux
16	.	.	qui
16	.	A	dé-
16.	.	A	-pendent
32	.	.	de
16	.	.	la
16	.	.	haine
=22	=22	=22	=22
8	.	.	.
16	4	.	On
16	.	.	y
16	.	.	gran-
16	.	.	-dit
16	.	.	en
16	.	.	per-
16	.	.	-dant
16	.	.	l'i-
16	.	.	-no-
16	.	A	-cence
8	.	.	.
16	3	.	Que
16	.	.	cha-
=23	=23	=23	=23
16	.	.	-cun
16	.	.	d'nous
16	.	.	po-
16	.	.	-ssède
16	.	.	à
16	.	.	sa
16	.	.	nai-
16	.	A	-ssance
8	.	.	.
16	4	.	Com-
16	.	.	-bat
16	.	.	nos
16	.	.	fai-
8	.	.	-blesses
=24	=24	=24	=24
16	.	.	.
16	3	.	For-
16	.	A	-ti-
16	.	A	-fie
16	.	.	mon
16	.	.	men-
8.	.	A	-tal
16	4	.	San-
16	.	A	-cti-
16	.	A	-fie
16	.	.	mon
16	.	A	ame
16	.	.	mon
16	.	.	e-
=25	=25	=25	=25
8..	.	A	-ssence
16	4	.	A-
8	.	.	-dam
8	.	.	stru-
16.	.	.	-cture
16	.	.	mon
16	.	.	A
16	.	.	D
16	.	A	N
8	.	.	.
=26	=26	=26	=26
16	4	.	Né
16	.	.	non
16	.	.	pas
16	.	.	pour
8.	.	A	vivre
16	.	A	seul
8	.	.	.
16	3	.	Cause
16	.	.	au
16	.	.	nom
16	.	.	de
16	.	.	l'u-
16	.	.	-ni-
=27	=27	=27	=27
8	.	A	-ver-
8.	.	A	-sel
8	4	.	Puise
16	.	.	mes
16	.	.	in-
16	.	.	-stru-
8	.	.	-ments
16	.	.	dans
16	.	.	la
8	.	A	flore
=28	=28	=28	=28
16	.	.	pour
16	.	.	ma
8	.	A	faune
16	4	.	Dans
16	.	.	la
16.	.	.	rue
16	.	.	pour
16.	.	.	mes
16	.	.	gens
16	.	.	aux
8	.	.	in-
8	.	.	-stincts
=29	=29	=29	=29
8	.	A	d'fauves
16	4	.	A
32	.	.	nous
32	.	.	les
4	.	A	fautes
32	.	.	.
16	.	.	quand
16.	.	.	les
16	.	.	pul-
16.	.	.	-sions
16.	.	.	l'em-
16	.	.	-portent
=30	=30	=30	=30
16	.	.	sur
16	.	.	la
8	.	A	re-
8	.	.	-fle-
8	.	A	-xion
8	.	.	.
16	4	.	Te
16	.	.	privent
32	.	.	de
16.	.	.	con-
8	.	.	-trole
=31	=31	=31	=31
16	.	.	.
16	.	.	pri-
16	.	.	-mi-
16	.	.	-tive
16	.	A	ré-
16.	.	.	-a-
32	.	A	-ction
16	.	.	.
8	.	.	.
16	3	.	Pré-
16	.	.	-viens
16	.	.	les
8.	.	.	autres
=32	=32	=32	=32
16	4	A	Que
16	.	.	veux-
8	.	.	tu
8	.	A	que
4	.	.	j'dise
16	.	A	quand
16	.	.	s'en-
8..	.	A	-foncent
32	4	.	les
=33	=33	=33	=33
32	.	.	.
8	.	.	têtes
16	.	.	de
16	.	.	mon
16	.	.	qua-
16	.	.	-tre
16	.	.	vingt
16	.	.	douze
16.	.	.	en-
8	.	A	-fance
8	3	.	Trop
8	.	.	s'plaisent
=34	=34	=34	=34
16	.	.	à
16	.	.	ti-
16	.	.	-ser
16	.	.	et
8	.	A	vo-
4	.	A	-mir
8	4	.	Spliffs
16	.	.	a-
16.	.	.	-vant
16.	.	A	d'dor-
=35	=35	=35	=35
4	.	A	-mir
16	.	.	.
16	.	.	Et
16	.	.	dès
16	.	.	le
16	.	.	ma-
16	.	.	-tin
8	.	.	re-
4	.	A	-mise
=36	=36	=36	=36
4	.	.	.
8	.	.	.
16	4	.	Les
16	.	.	e-
8	.	.	-rreurs
16	.	A	n'a-
16	.	.	-ppar-
8	.	A	-tiennent
16	.	A	qu'à
16	.	.	nous
=37	=37	=37	=37
4	.	A	mêmes
8	.	.	.
16	4	.	Pas
16	.	.	l'temps
16	.	.	pour
16.	.	.	les
8	.	.	re-
32	.	.	-grets
16	.	.	.
8	.	.	.
=38	=38	=38	=38
=39	=39	=39	=39
=40	=40	=40	=40
=41	=41	=41	=41
=42	=42	=42	=42
=43	=43	=43	=43
=44	=44	=44	=44
=45	=45	=45	=45
2	.	.	.
4	.	.	.
8.	.	.	.
*>Verse2	*>Verse2	*>Verse2	*>Verse2
16	4	.	On
=46	=46	=46	=46
16	.	.	dit
16	.	.	qu'la
16	.	.	vie
16	.	.	des
8	.	.	jeunes
16	.	.	de
16	.	.	la
16.	.	.	rue
32	.	.	est
8	.	.	tri-
16.	.	.	-ste
32	.	.	mais
16	.	.	qui
16	.	.	tu
=47	=47	=47	=47
16	.	.	.
8	.	A	blames?
16.	4	.	J'ai
16.	.	.	pas
16.	.	.	b'soin
16	.	.	d'tes
16	.	A	larmes
16	.	.	où
32	.	.	est
8	.	.	le
16	.	A	drame?
8	.	.	.
=48	=48	=48	=48
16.	.	.	.
32	4	.	De-
16	.	.	-puis
16	.	.	l'C
16.	.	A	P
16	.	.	les
8	.	.	billes
16	.	.	j'sais
16	.	.	que
16	.	.	c'est
32	.	.	ni-
16	.	A	-qué
16	4	.	Donc
16	.	.	j'fais
16	.	.	mon
=49	=49	=49	=49
32	.	.	.
16.	.	A	bi-
8.	.	A	-llet
32	.	.	si
8	.	.	j'dois
16	.	A	t'bri-
16.	.	A	-ser
8	.	.	pour
16	.	A	bri-
8	.	A	-ller
16	4	A	Hors
=50	=50	=50	=50
8	.	.	de
