**recip	**break	**rhyme	**lyrics
=31	=31	=31	=31
2	.	.	.
4	.	.	.
16	.	.	.
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	4	.	J'é-
16	.	.	-tais
16	.	.	li-
=32	=32	=32	=32
16	.	.	-vreur
16	.	.	de
16	.	A	pi-
16	.	A	-zzas
4	.	.	.
16	.	.	.
16	.	.	près
16	.	.	de
16	.	.	l'ha-
16	.	.	-cien-
16	.	A	-da
16	3	.	Ou
16	.	.	la
=33	=33	=33	=33
16	.	A	chi-
8	.	A	-ca
16	.	.	du
16	.	.	nom
16	.	.	d'E-
16	.	.	-sme-
16	.	.	-ra-
16	.	A	-lda
16	.	.	fai-
16	.	.	-sait
16	.	.	la
8	.	A	fie-
8	.	A	-sta
=34	=34	=34	=34
16	.	.	.
16	4	.	Comme
16	.	.	par
16	.	.	ha-
16	.	.	-sard
16	.	.	elle
16	.	.	me
16	.	.	co-
16	.	.	-mmande
16	.	.	un
16	.	.	pan-
16	.	.	cho-
16	.	.	-ri-
8.	.	A	-zo
=35	=35	=35	=35
16	4	.	J'ai
16	.	.	com-
16	.	.	-pris
16	.	.	l'com-
16	.	A	-plot
16	.	.	cuan-
16	.	A	-do
16	.	.	la
16	.	.	fille
16	.	.	me
16	.	.	dit
16	.	.	te
16	.	.	quie-
16	.	A	-ro
8	.	.	.
=36	=36	=36	=36
16	.	.	.
16	4	.	A-
16	.	.	-mi-
8.	.	A	-go
16	.	.	dans
16	.	.	le
16	.	.	ba-
16	.	A	-rrio
16	.	.	on
16	.	.	s'pa-
16	.	.	-va-
16	.	.	-nait
8	.	A	sec
=37	=37	=37	=37
8	3	A	Sexe
16	.	A	six
16	.	.	jours
8	.	.	sur
16	.	A	sept
16	3	.	Te-
8	.	.	-qui-
16	.	.	-la
16	.	.	pas
16	.	.	d'prise
16	.	.	de
8	.	A	tête
=38	=38	=38	=38
8	.	.	.
16	4	.	Mais
16	.	.	ca
16	.	.	n'a
16	.	.	pas
16	.	.	plus
16	.	.	à
16	.	.	cer-
16	.	.	-tains
16	.	.	pi-
16	.	.	-sto-
16	.	A	-le-
8.	.	A	-ros
=39	=39	=39	=39
16	3	.	Ba-
16	.	.	-ga-
16	.	.	-rreurs
16	.	.	tel
32	.	A	Va-
32	.	A	-le-
8.	.	A	-ra
16	.	.	de
16	.	.	vrais
16	.	.	têtes
16	.	.	de
32	.	A	vils
32	.	A	hé-
16	.	A	-ros
8	.	.	.
=40	=40	=40	=40
16	.	.	.
16	4	.	Ex-
16	.	.	-pul-
16	.	.	-sé
16	.	.	de
16	.	.	la
8.	.	.	ville
16	.	.	tel
16	.	.	un
16	.	A	sans
8.	.	A	pap'
16	3	.	Seul
=41	=41	=41	=41
16	.	.	.
16	.	.	sans
16	.	.	ba-
16	.	.	-ri-
16	.	.	-llet
16	.	.	i-
16	.	.	-so-
8	.	.	-lé
16	.	.	tel
16	.	.	un
16	.	.	ca-
16	.	.	-tho
16	.	A	sans
8	.	A	pape
=42	=42	=42	=42
8	.	.	.
16	4	.	Quand
16	.	.	je
16	.	.	pense
16	.	.	à
16	.	.	toi
16	.	.	Ra-
8	.	.	-chel
16	.	.	E-
16	.	.	-sme-
8	.	A	-ra-
16	.	A	-lda
16	3	.	J'en
=43	=43	=43	=43
16	.	.	ai
16	.	.	la
16	.	.	go-
16	.	.	-rge
16	.	.	se-
16	.	.	-rrée
16	.	.	mais
8.	.	.	bon
16	.	.	j'ai
16	.	.	des
8	.	A	Va-
8	.	A	-lda
=44	=44	=44	=44
=45	=45	=45	=45
=46	=46	=46	=46
=47	=47	=47	=47
=48	=48	=48	=48
=49	=49	=49	=49
=50	=50	=50	=50
=51	=51	=51	=51
2	.	.	.
4	.	.	.
16	.	.	.
*>Verse2	*>Verse2	*>Verse2	*>Verse2
16	4	.	On
16	.	.	est
16	.	.	en
=52	=52	=52	=52
16	.	.	Ca-
16	.	.	-li-
16	.	.	-for-
16	.	.	-nie
4	.	.	.
16	.	.	bien
16	.	.	a-
16	.	.	-vant
16	.	A	B-
8	.	A	watch
8	4	.	J'marche
=53	=53	=53	=53
16	.	.	so-
8.	.	.	-lo
16	.	.	tel
16	.	.	un
16	.	.	or-
16	.	.	-phe-
8	.	.	-lin
16	.	.	dans
16	.	.	la
16	.	.	poche
16	.	.	de
8	.	A	Bihac
=54	=54	=54	=54
8	.	.	.
16	4	.	Y'a
16	.	.	des
8	.	.	noichs
8	.	.	Kwai
16	.	.	Chang
16	.	.	Caine
16	3	.	Et
16	.	A	des
8	.	A	grin-
16	.	A	-gos
16	.	A	dé-
=55	=55	=55	=55
16	.	A	-grin-
8.	.	A	-golent
16	3	.	Y'a
16	.	.	des
8	.	.	pon-
8	.	A	-chos
16	.	.	sous
16	.	.	les
16	.	.	som-
16	.	.	-bre-
8	.	A	-ros
=56	=56	=56	=56
16	.	.	.
16	4	.	A
16	.	.	con-
16	.	.	-tre-
4	.	.	jour
16	.	.	E-
16	.	.	-sme-
16	.	.	-ra-
16	.	.	-lda
32	.	A	dé-
8..	.	A	-esse
=57	=57	=57	=57
16	3	.	Les
16	.	.	yeux
16	.	.	pleins
16	.	.	de
32	.	.	li-
8..	.	A	-esse
16	.	.	sort
16	.	.	du
16	.	.	po-
16	.	.	-ney
8	.	A	ex-
8	.	A	-press
=58	=58	=58	=58
16	.	.	.
16	4	.	Elle
16	.	.	me
16	.	.	dit
16	.	.	va-
16	.	.	-mo-
8.	.	A	-nos
16	.	.	je
16	.	.	ré-
16	.	.	-ponds
8.	.	A	yes
16	4	.	C'é-
=59	=59	=59	=59
16	.	.	-tait
16	.	.	Bo-
16	.	.	-nnie
16	.	.	et
8.	.	A	Claude
16	.	.	dans
16	.	.	No-
16	.	.	-tre
16	.	.	-Dame
16	.	.	de
8	.	.	Bar-
8	.	A	-bès
=60	=60	=60	=60
16	.	.	.
16	4	.	Ha-
16	.	A	-sta
16	.	.	la
16	.	.	vi-
8.	.	A	-sta
16	.	.	ge-
32	.	.	-né-
16	.	.	-rique
32	.	.	fi-
16	.	.	.
16.	.	A	-nal
16.	3	.	Ha-
16	.	A	-sta
=61	=61	=61	=61
16	.	.	.
16	.	.	la
16	.	.	pro-
16	.	.	-xi-
16	.	A	-ma
16	.	.	on
16	.	.	part
16	.	.	vers
8	.	.	l'ou-
8	.	.	-est
16	.	.	à
16	.	.	che-
8	.	A	-val
=62	=62	=62	=62
32	.	.	.
16	4	.	Tout
32	.	.	le
16	.	.	monde
16	.	.	se
16	.	.	lève
16	.	.	il
16	.	.	n'y'a
16	.	.	plus
16	.	.	per-
16	.	.	-sonne
16	.	.	dans
16	.	.	le
16	.	A	ci-
8	.	A	-né
16	4	.	Le
=63	=63	=63	=63
16	.	.	film
16	.	.	est
8	.	.	ter-
16	.	A	-mi-
16	.	A	-né
8	.	.	.
16	.	.	.
16	.	.	mais
16	.	.	j'en-
16	.	.	-tends
8	.	.	chan-
8	.	A	-ter
