=1	=1	=1	=1
16	0	0	R
=2	=2	=2	=2
16	0	0	R
=3	=3	=3	=3
16	0	0	R
=4	=4	=4	=4
16	0	0	R
=5	=5	=5	=5
16	0	0	R
=6	=6	=6	=6
16	0	0	R
=7	=7	=7	=7
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	1	0	Viens
16	0	0	dans
16	0	0	les
16	0	0	quar-
8	0	0	-tiers
16	0	0	voir
16	0	0	le
16	0	0	R
16	0	0	pa-
8	0	0	-ra-
4	0	1	dis
=8	=8	=8	=8
4	0	0	R
8	0	0	R
16	1	0	Où
16	0	0	les
8	0	0	anges
16	0	0	touchent
16	0	0	le
16	0	0	R-
16	0	0	-M-
8	0	1	-I
=9	=9	=9	=9
4	0	0	R
16	0	0	R
16	1	0	Ici
16	0	0	le
16	0	0	scoo-
8	0	1	-ter
16	0	0	est
16	0	0	le
16	0	0	vé-
16	0	0	-hi-
8	0	1	-cule
=10	=10	=10	=10
4	0	0	R
16	0	0	R
16	1	0	Et
16	0	0	les
16	0	0	bee-
8.	0	1	-pers
16	0	0	pu-
4	0	1	-llulent
=11	=11	=11	=11
8	0	0	R
16	1	0	C'est
16	0	0	d'un
8	0	0	pas
16	0	0	lé-
8	0	1	-ger
16	0	0	qu'a-
16	0	0	-rrive
8.	0	0	l'hui-
8	0	1	-ssier
=12	=12	=12	=12
4	0	0	R
16	0	0	R
16	1	0	A-
16	0	0	-ccom-
16	0	0	-pa-
8	0	1	-gné
16	0	0	du
8	0	0	se-
16	0	0	-rru-
8	0	1	-rier
=13	=13	=13	=13
8	0	0	R
16	1	0	Les
16	0	0	i-
8	0	0	-doles
16	0	0	des
8	0	0	jeunes
16	0	0	sont
16	0	0	des
8.	0	0	por-
8	0	1	-no-
=14	=14	=14	=14
4	0	1	-stars
4	1	0	Voire
8	0	0	Pa-
16	0	1	-blo
8	0	0	E-
16	0	0	-sco-
8	0	1	-bar
=15	=15	=15	=15
8	0	0	R
16	1	0	Si
16	0	0	les
16	0	0	anges
16	0	0	ont
16	0	0	des
8	0	0	ailes
16	0	0	i-
16	0	0	-ci
16	0	0	les
8	0	0	gosses
8	0	1	volent
=16	=16	=16	=16
4	0	0	R
8.	0	0	R
16	1	0	De-
8	0	0	-mande
16	0	0	à
8	0	0	In-
16	0	0	-ter-
8	0	1	-pol
=17	=17	=17	=17
16	0	0	R
16	1	0	Ils
16	0	0	ont
16	0	0	des
8.	0	0	pogs
16	0	0	et
8	0	0	songent
16	0	0	à
16	0	0	leur
16	0	0	ja-
8.	0	0	-cu-
=18	=18	=18	=18
4	0	1	-zzi
8.	0	0	R
16	1	0	A
16	0	0	cha-
16	0	0	-cun
16	0	0	son
16	0	0	pa-
16	0	0	-ra-
16	0	1	-dis
8	0	0	R
=19	=19	=19	=19
1	0	0	R
=20	=20	=20	=20
1	0	0	R
=21	=21	=21	=21
1	0	0	R
=22	=22	=22	=22
1	0	0	R
=23	=23	=23	=23
16	0	0	R
*>Verse2	*>Verse2	*>Verse2	*>Verse2
16	1	0	Je
16	0	0	suis
16	0	0	au
16	0	0	7
8	0	0	ème
16	0	1	ciel
4	0	0	R
8.	0	0	R
16	1	0	Ma
=24	=24	=24	=24
8	0	0	tour
16	0	0	est
16	0	0	plus
8.	0	1	belle
16	0	0	que
8	0	1	celle
16	0	0	de
16	0	0	Ba-
4	0	1	-bel
=25	=25	=25	=25
8.	0	0	R
16	1	0	Je
16	0	0	vais
16	0	0	à
16	0	0	l'é-
16	0	0	-cole
16	0	0	bui-
16	0	0	-sso-
8	0	1	-nière
8.	0	0	R
16	2	0	je
=26	=26	=26	=26
4	0	1	gère
16	0	0	R
16	1	0	Et
16	0	0	dans
16	0	0	la
4	0	0	ville
4	2	1	j'erre
=27	=27	=27	=27
8	0	0	R
16	1	0	Ne
16	0	0	me
8	0	0	pa-
16	0	0	-rle
8	0	0	pas
16	0	0	de
16	0	0	tra-
16	0	0	-vail
16	0	0	à
16	0	0	la
8	0	1	chaine
=28	=28	=28	=28
4	0	0	R
16	0	0	R
16	1	0	J'veux
16	0	0	pas
16	0	0	fi-
8	0	0	-nir
16	0	0	comme
8	0	0	Kurt
16	0	0	Co-
8	0	1	-bain
=29	=29	=29	=29
16	0	0	R
16	1	0	Le
8	0	0	maire
8.	0	0	deale
8	0	0	douze
16	0	0	i-
16	0	0	-dées
16	0	0	dans
16	0	0	le
8.	0	0	quar-
=30	=30	=30	=30
4	0	1	-tier
16	0	0	R
16	1	0	Et
16	0	0	les
16	0	0	pa-
8	0	0	-rents
16	0	0	s'en
8	0	0	vont
16	0	0	vo-
8	0	1	-ter
=31	=31	=31	=31
4	0	0	R
16	0	0	R
16	1	0	Il
16	0	0	a
16	0	0	des
16	0	0	ré-
16	0	0	-cits
8	0	0	R
4	0	1	propres
=32	=32	=32	=32
16	1	0	O-
16	0	0	-ffre
16	0	0	le
16	0	0	bo-
8	0	0	-nheur
16	0	0	comme
16	0	0	un
8	0	0	clip
16	0	0	de
8	0	0	Ré-
16	0	0	-ci-
8	0	1	-prok
=33	=33	=33	=33
16	0	0	R
16	1	0	Il
16	0	0	lève
16	0	0	les
8	0	0	bras
16	0	0	se
16	0	0	ba-
8	0	0	-lance
16	0	0	pour
16	0	0	qu'on
8	0	0	vote
8	0	0	pour
=34	=34	=34	=34
4	0	1	lui
8.	0	0	R
16	1	0	A
16	0	0	cha-
16	0	0	-cun
16	0	0	son
16	0	0	pa-
16	0	0	-ra-
16	0	1	-dis
8	0	0	R
=35	=35	=35	=35
1	0	0	R
=36	=36	=36	=36
1	0	0	R
=37	=37	=37	=37
1	0	0	R
=38	=38	=38	=38
1	0	0	R
=39	=39	=39	=39
1	0	0	R
=40	=40	=40	=40
1	0	0	R
=41	=41	=41	=41
1	0	0	R
=42	=42	=42	=42
1	0	0	R
=43	=43	=43	=43
*>Verse3	*>Verse3	*>Verse3	*>Verse3
16	1	0	Quand
16	0	0	tu
16	0	0	joues
16	0	0	aux
4	0	0	billes
16	0	0	R
16	2	0	je
16	0	0	joue
16	0	0	au
4	0	1	golf
=44	=44	=44	=44
4	0	0	R
8	0	0	R
16	1	0	Ba-
16	0	0	-lle-
16	0	0	-ste-
16	0	0	-ros
16	0	0	c'est
16	0	0	mon
4	0	1	prof
=45	=45	=45	=45
8.	0	0	R
16	1	0	De-
16	0	0	-puis
16	0	0	le
16	0	0	Mont
16	0	0	-Si-
8	0	0	-naï
16	0	0	je
16	0	1	prêche
8.	0	0	R
16	1	0	A
=46	=46	=46	=46
16	0	0	des
16	0	0	su-
16	0	0	-mos
16	0	0	qui
3.2	0	0	rêvent
16	0	0	de
16	0	0	sauts
16	0	0	à
16	0	0	la
8	0	1	perche
16	1	0	A-
=47	=47	=47	=47
16	0	0	-rri-
16	0	1	-mé
16	0	0	à
16	0	0	la
8	0	1	rime
16	0	0	je
8	0	1	trime
8	0	0	sans
8	0	1	frime
16	0	0	con-
16	0	0	-tre
16	0	0	le
=48	=48	=48	=48
16	0	1	crime
16	1	0	Un
8	0	1	dream
4	0	1	clean
16	0	0	pou-
16	0	0	-ssé
16	0	0	par
16	0	0	la
8	0	0	base
8	0	1	B.I.E.M
=49	=49	=49	=49
4	0	0	R
16	0	0	R
16	1	0	J'suis
16	0	0	pas
16	0	0	le
8	0	1	boss
16	0	0	des
16	0	1	boss
8.	0	0	R
16	1	0	Le
=50	=50	=50	=50
16	0	0	pa-
16	0	0	-ra-
16	0	1	-dis
16	0	0	pour
16	0	0	moi
16	0	0	est
16	0	0	de
8	0	0	voir
16	0	0	gran-
8	0	0	-dir
16	0	0	des
16	0	1	gosses
8	0	0	R
=51	=51	=51	=51
4	0	0	R
8	0	0	R
16	1	0	Les
16	0	0	pro-
16	0	0	-té-
16	0	0	-ger
16	0	0	de
16	0	0	la
8.	0	1	pluie
16	1	0	Con-
=52	=52	=52	=52
8	0	0	-state
16	0	0	ce-
8	0	1	-ci
8	2	0	Claude
8	0	0	M-
8	0	1	-C
8	0	0	bronze
16	0	0	la
8	0	1	nuit
=53	=53	=53	=53
16	0	0	R
16	1	0	De-
16	0	0	-mande
16	0	0	à
16	0	0	Clau-
16	0	0	-di-
16	0	0	-a
16	0	0	j'ai
8.	0	0	plein
16	0	0	de
16	0	0	tours
16	0	0	de
8	0	1	ma-
=54	=54	=54	=54
16	0	0	R
16	0	0	-gie
8	0	0	R
16	0	0	R
16	1	0	Pour
16	0	1	faire
16	0	0	de
16	0	0	l'en-
16	0	1	-fer
16	0	0	un
16	0	0	pa-
16	0	0	-ra-
16	0	1	-dis
8	0	0	R
