**recip	**break	**rhyme	**lyrics
=7	=7	=7	=7
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	4	.	Viens
16	.	.	dans
16	.	.	les
16	.	.	quar-
8	.	.	-tiers
16	.	.	voir
16	.	.	le
16	.	.	.
16	.	.	pa-
8	.	.	-ra-
4	.	A	dis
=8	=8	=8	=8
4	.	.	.
8	.	.	.
16	4	.	Où
16	.	.	les
8	.	.	anges
16	.	.	touchent
16	.	.	le
16	.	.	R-
16	.	.	-M-
8	.	A	-I
=9	=9	=9	=9
4	.	.	.
16	.	.	.
16	4	.	Ici
16	.	.	le
16	.	.	scoo-
8	.	A	-ter
16	.	.	est
16	.	.	le
16	.	.	vé-
16	.	.	-hi-
8	.	A	-cule
=10	=10	=10	=10
4	.	.	.
16	.	.	.
16	4	.	Et
16	.	.	les
16	.	.	bee-
8.	.	A	-pers
16	.	.	pu-
4	.	A	-llulent
=11	=11	=11	=11
8	.	.	.
16	4	.	C'est
16	.	.	d'un
8	.	.	pas
16	.	.	lé-
8	.	A	-ger
16	.	.	qu'a-
16	.	.	-rrive
8.	.	.	l'hui-
8	.	A	-ssier
=12	=12	=12	=12
4	.	.	.
16	.	.	.
16	4	.	A-
16	.	.	-ccom-
16	.	.	-pa-
8	.	A	-gné
16	.	.	du
8	.	.	se-
16	.	.	-rru-
8	.	A	-rier
=13	=13	=13	=13
8	.	.	.
16	4	.	Les
16	.	.	i-
8	.	.	-doles
16	.	.	des
8	.	.	jeunes
16	.	.	sont
16	.	.	des
8.	.	.	por-
8	.	A	-no-
=14	=14	=14	=14
4	.	A	-stars
4	4	.	Voire
8	.	.	Pa-
16	.	A	-blo
8	.	.	E-
16	.	.	-sco-
8	.	A	-bar
=15	=15	=15	=15
8	.	.	.
16	4	.	Si
16	.	.	les
16	.	.	anges
16	.	.	ont
16	.	.	des
8	.	.	ailes
16	.	.	i-
16	.	.	-ci
16	.	.	les
8	.	.	gosses
8	.	A	volent
=16	=16	=16	=16
4	.	.	.
8.	.	.	.
16	4	.	De-
8	.	.	-mande
16	.	.	à
8	.	.	In-
16	.	.	-ter-
8	.	A	-pol
=17	=17	=17	=17
16	.	.	.
16	4	.	Ils
16	.	.	ont
16	.	.	des
8.	.	.	pogs
16	.	.	et
8	.	.	songent
16	.	.	à
16	.	.	leur
16	.	A	ja-
8.	.	.	-cu-
=18	=18	=18	=18
4	.	A	-zzi
8.	.	.	.
16	4	.	A
16	.	.	cha-
16	.	.	-cun
16	.	.	son
16	.	A	pa-
16	.	.	-ra-
16	.	A	-dis
8	.	.	.
=19	=19	=19	=19
=20	=20	=20	=20
=21	=21	=21	=21
=22	=22	=22	=22
=23	=23	=23	=23
16	.	.	.
*>Verse2	*>Verse2	*>Verse2	*>Verse2
16	4	.	Je
16	.	.	suis
16	.	.	au
16	.	A	7
8	.	.	ème
16	.	A	ciel
4	.	.	.
8.	.	.	.
16	4	.	Ma
=24	=24	=24	=24
8	.	.	tour
16	.	.	est
16	.	.	plus
8.	.	A	belle
16	.	.	que
8	.	A	celle
16	.	.	de
16	.	.	Ba-
4	.	A	-bel
=25	=25	=25	=25
8.	.	.	.
16	4	.	Je
16	.	.	vais
16	.	.	à
16	.	.	l'é-
16	.	.	-cole
16	.	.	bui-
16	.	.	-sso-
8	.	A	-nière
8.	.	.	.
16	3	.	je
=26	=26	=26	=26
4	.	A	gère
16	.	.	.
16	4	.	Et
16	.	.	dans
16	.	.	la
4	.	.	ville
4	3	A	j'erre
=27	=27	=27	=27
8	.	.	.
16	4	.	Ne
16	.	.	me
8	.	.	pa-
16	.	.	-rle
8	.	.	pas
16	.	.	de
16	.	.	tra-
16	.	.	-vail
16	.	.	à
16	.	.	la
8	.	A	chaine
=28	=28	=28	=28
4	.	.	.
16	.	.	.
16	4	.	J'veux
16	.	.	pas
16	.	.	fi-
8	.	.	-nir
16	.	.	comme
8	.	.	Kurt
16	.	.	Co-
8	.	A	-bain
=29	=29	=29	=29
16	.	.	.
16	4	.	Le
8	.	.	maire
8.	.	A	deale
8	.	A	douze
16	.	.	i-
16	.	A	-dées
16	.	.	dans
16	.	.	le
8.	.	.	quar-
=30	=30	=30	=30
4	.	A	-tier
16	.	.	.
16	4	.	Et
16	.	.	les
16	.	.	pa-
8	.	.	-rents
16	.	.	s'en
8	.	.	vont
16	.	.	vo-
8	.	A	-ter
=31	=31	=31	=31
4	.	.	.
16	.	.	.
16	4	.	Il
16	.	.	a
16	.	.	des
16	.	A	ré-
16	.	A	-cits
8	.	.	.
4	.	A	propres
=32	=32	=32	=32
16	4	.	O-
16	.	.	-ffre
16	.	.	le
16	.	.	bo-
8	.	.	-nheur
16	.	.	comme
16	.	.	un
8	.	.	clip
16	.	.	de
8	.	A	Ré-
16	.	A	-ci-
8	.	A	-prok
=33	=33	=33	=33
16	.	.	.
16	4	.	Il
16	.	.	lève
16	.	.	les
8	.	.	bras
16	.	.	se
16	.	.	ba-
8	.	.	-lance
16	.	.	pour
16	.	.	qu'on
8	.	.	vote
8	.	.	pour
=34	=34	=34	=34
4	.	A	lui
8.	.	.	.
16	4	.	A
16	.	.	cha-
16	.	.	-cun
16	.	.	son
16	.	.	pa-
16	.	.	-ra-
16	.	A	-dis
8	.	.	.
=35	=35	=35	=35
=36	=36	=36	=36
=37	=37	=37	=37
=38	=38	=38	=38
=39	=39	=39	=39
=40	=40	=40	=40
=41	=41	=41	=41
=42	=42	=42	=42
=43	=43	=43	=43
*>Verse3	*>Verse3	*>Verse3	*>Verse3
16	4	.	Quand
16	.	.	tu
16	.	.	joues
16	.	.	aux
4	.	.	billes
16	.	.	.
16	3	.	je
16	.	.	joue
16	.	.	au
4	.	A	golf
=44	=44	=44	=44
4	.	.	.
8	.	.	.
16	4	.	Ba-
16	.	.	-lle-
16	.	.	-ste-
16	.	.	-ros
16	.	.	c'est
16	.	.	mon
4	.	A	prof
=45	=45	=45	=45
8.	.	.	.
16	4	.	De-
16	.	.	-puis
16	.	.	le
16	.	.	Mont
16	.	.	-Si-
8	.	.	-naï
16	.	.	je
16	.	A	prêche
8.	.	.	.
16	4	.	A
=46	=46	=46	=46
16	.	.	des
16	.	.	su-
16	.	.	-mos
32	.	.	qui
32	.	.	rêvent
4	.	.	.
16	.	.	.
16	.	.	de
16	.	.	sauts
16	.	.	à
16	.	.	la
8	.	A	perche
16	4	.	A-
=47	=47	=47	=47
16	.	.	-rri-
16	.	A	-mé
16	.	.	à
16	.	.	la
8	.	A	rime
16	.	.	je
8	.	A	trime
8	.	.	sans
8	.	A	frime
16	.	.	con-
16	.	.	-tre
16	.	.	le
=48	=48	=48	=48
16	.	A	crime
16	4	.	Un
8	.	A	dream
4	.	A	clean
16	.	.	pou-
16	.	.	-ssé
16	.	.	par
16	.	.	la
8	.	.	base
8	.	A	B.I.E.M
=49	=49	=49	=49
4	.	.	.
16	.	.	.
16	4	.	J'suis
16	.	.	pas
16	.	.	le
8	.	A	boss
16	.	.	des
16	.	A	boss
8.	.	.	.
16	4	.	Le
=50	=50	=50	=50
16	.	.	pa-
16	.	.	-ra-
16	.	A	-dis
16	.	.	pour
16	.	.	moi
16	.	.	est
16	.	.	de
8	.	.	voir
16	.	.	gran-
8	.	.	-dir
16	.	.	des
16	.	A	gosses
8	.	.	.
=51	=51	=51	=51
4	.	.	.
8	.	.	.
16	4	.	Les
16	.	.	pro-
16	.	.	-té-
16	.	.	-ger
16	.	.	de
16	.	.	la
8.	.	A	pluie
16	4	.	Con-
=52	=52	=52	=52
8	.	.	-state
16	.	.	ce-
8	.	A	-ci
8	3	.	Claude
8	.	.	M-
8	.	A	-C
8	.	.	bronze
16	.	.	la
8	.	A	nuit
=53	=53	=53	=53
16	.	.	.
16	4	.	De-
16	.	.	-mande
16	.	.	à
16	.	.	Clau-
16	.	.	-di-
16	.	.	-a
16	.	.	j'ai
8.	.	.	plein
16	.	.	de
16	.	.	tours
16	.	.	de
8	.	A	ma-
=54	=54	=54	=54
16	.	.	.
16	.	A	-gie
8	.	.	.
16	.	.	.
16	4	.	Pour
16	.	A	faire
16	.	.	de
16	.	.	l'en-
16	.	A	-fer
16	.	.	un
16	.	.	pa-
16	.	A	-ra-
16	.	A	-dis
8	.	.	.
