**recip	**break	**rhyme	**lyrics
=1	=1	=1	=1
2	.	.	.
4.	.	.	0
16.	.	.	.
*>Verse1	*>Verse1	*>Verse1	*>Verse1
32	4	.	A
=2	=2	=2	=2
32	.	.	.
16	.	.	l'aube
16	.	.	de
16	.	.	l'an
16	.	.	deux
8	.	A	mille
16	.	.	pour
16	.	.	les
16.	.	.	jeunes
16.	.	.	c'est
8	.	.	plus
16	.	.	l'meme
16.	.	A	deal
=3	=3	=3	=3
32	.	.	.
16.	4	.	Pour
16	.	.	ce-
16.	.	.	-lui
16.	.	.	qui
16.	.	.	trai-
32	.	.	-ne
8	.	.	comme
16.	.	.	pour
32	.	.	ce-
16.	.	.	-lui
16	.	.	qui
16.	.	A	file
=4	=4	=4	=4
32	.	.	.
8	4	.	Tout
16.	.	.	droit
32	.	.	de
16.	.	.	toute
16	.	.	fa-
16	.	.	-con
32	.	.	y a
8	.	.	plus
16	.	.	d'bou-
8	.	A	-lot
32	4	.	La
16.	.	A	boucle
32	.	.	est
=5	=5	=5	=5
16	.	A	bou-
16	.	A	-clée
16	.	.	le
16	.	.	sys-
16.	.	.	-tème
32	.	.	a
16	.	.	la
16.	.	.	tête
16.	.	.	sous
8	.	A	l'eau
16	4	.	Et
16	.	.	les
16	.	.	jeunes
16	.	.	sont
=6	=6	=6	=6
16	.	A	saou-
16	.	A	-lés
8	.	.	.
32	.	.	.
16	.	A	sa-
16	.	A	-lis
16	.	A	sous
16	.	A	le
16.	.	A	si-
8	.	A	-lence
8.	4	.	Seule
16	.	.	i-
=7	=7	=7	=7
16.	.	A	-ssue
32	.	.	la
8	.	A	rue
16.	.	.	même
16	.	.	quand
16	.	.	elle
16	.	.	est
16.	.	.	en
16.	.	A	sens
32	4	.	C'est
16.	.	.	pas
16	.	.	un
16	.	A	sou-
32	.	A	-cis
=8	=8	=8	=8
16.	.	.	.
32	.	.	pour
16.	.	A	ceux
16	.	.	qui
16.	.	.	s'y
16.	.	.	sont
16	.	.	pré-
16.	.	.	-pa-
8	.	.	-rés
16.	.	.	si
16.	.	.	ca
16	.	A	s'peut
=9	=9	=9	=9
16	.	.	.
16	4	.	Cer-
16.	.	.	-tains
16	.	.	d'entre
16.	.	A	eux
16	.	.	même
16	.	.	s'en
16	.	.	sor-
16.	.	.	-ti-
16.	.	.	-ront
8.	.	A	mieux
16	4	.	Mais
=10	=10	=10	=10
16	.	.	pour
16	.	.	les
8..	.	.	autres
16	.	.	c'est
8..	.	.	clair
16	.	.	s'ra
16	.	.	pas
16	.	.	fa-
8.	.	A	-cile
=11	=11	=11	=11
16	4	.	Faut
8	.	.	pas
16	.	.	s'voi-
16	.	.	-ler
16	.	.	la
16	.	A	face
8	.	A	il
16	.	.	su-
16.	.	.	-ffit
16	.	.	pas
16	.	.	d'vendre
16	.	.	des
16.	.	A	kils
=12	=12	=12	=12
8	4	.	Faut
16.	.	.	t'nir
16	.	.	l'te-
16.	.	A	-rrain
16.	.	.	pour
16	.	.	l'len-
16	.	A	-d'main
16	4	.	S'a-
32	.	.	-ssu-
16	.	.	-rer
16	.	.	que
16	.	.	les
16.	.	A	siens
32	.	.	aillent
=13	=13	=13	=13
32	.	.	.
8	.	A	bien
32	.	.	é-
16	.	.	-vi-
16	.	.	-ter
16	.	.	les
16.	.	.	coups
32	.	.	d'su-
8..	.	A	-rin
32	4	.	A-
16.	.	.	-fin
16	.	.	d'gar-
16	.	.	-der
32	.	.	son
=14	=14	=14	=14
32	.	.	.
8	.	.	bien
32	.	.	in-
16	.	A	-tact
16.	.	.	.
16	4	.	Son
16	.	.	é-
16	.	.	-quipe
8	.	A	com-
16.	.	A	-pacte
8	.	.	sou-
8	.	A	-dée
=15	=15	=15	=15
8	4	.	E-
16.	.	.	-coute
16	.	.	de
16.	.	.	sca-
16.	.	.	-nner
32	.	.	pour
16	.	.	gar-
16	.	.	-der
16	.	.	le
16	.	A	con-
16.	.	.	-tact
16	.	.	ou
16.	4	A	Dé-
=16	=16	=16	=16
8	.	.	.
16.	.	.	-ci-
16	.	A	-der
16.	.	A	d'bou-
8	.	A	-ger
16	.	.	é-
32	.	.	-vi-
32	.	A	-ter
16.	.	.	les
32	.	.	zones
8	.	A	rouges
8	.	A	et
=17	=17	=17	=17
16	.	.	.
16	4	.	Sur-
8	.	.	-tout
16.	.	.	ja-
32	.	.	-mais
16.	.	.	prendre
32	.	.	de
16.	.	.	con-
8	.	A	-gé
32	4	.	C'est
16	.	.	ca
16	.	.	qu'tu
16	.	.	veux
16	.	.	pour
=18	=18	=18	=18
8	.	.	ton
8	.	A	fils?
16.	4	.	C'est
32	.	.	comme
16.	.	.	ca
16	.	.	qu'tu
16	.	.	veux
16	.	.	qu'il
16	.	.	gran-
8..	.	A	-disse?
16	4	.	J'ai
=19	=19	=19	=19
16	.	.	pas
16	.	.	d'con-
16	.	.	-seil
16	.	.	à
16.	.	.	do-
32	.	.	-nner
16	.	.	mais
16	.	.	si
16	.	.	tu
16	.	.	veux
16	.	.	pas
16.	.	.	qu'il
16.	.	A	glisse
16	4	.	Re-
16	.	.	-garde
=20	=20	=20	=20
32	.	.	.
8.	.	A	le
16	.	.	quand
16	.	.	il
16	.	.	parle
16	.	.	é-
8	.	.	-coute
8	.	A	le!
32	4	.	Le
8	.	.	laisse
16.	.	.	pas
32	.	.	cher-
=21	=21	=21	=21
16.	.	.	-cher
32	.	.	ai-
8	.	.	lleurs
16.	.	.	l'a-
32	.	.	-mour
16.	.	.	qu'il
32	.	.	d'vrait
16.	.	.	y a-
16	.	.	-voir
16	.	.	dans
32	.	.	tes
4	.	A	yeux
=22	=22	=22	=22
=23	=23	=23	=23
=24	=24	=24	=24
=25	=25	=25	=25
=26	=26	=26	=26
=27	=27	=27	=27
=28	=28	=28	=28
=29	=29	=29	=29
2	.	.	.
4	.	.	.
16	.	.	.
*>Verse2	*>Verse2	*>Verse2	*>Verse2
16	4	.	Pu-
16	.	.	-tain
16	.	.	c'est
=30	=30	=30	=30
8	.	.	en
16	.	.	me
16	.	.	di-
16.	.	.	-sant
32	.	.	j'ai
16	.	.	ja-
16	.	.	-mais
16	.	.	d'man-
16	.	.	-dé
16.	.	.	à
8	.	.	t'a-
16	.	A	-voir
16	4	.	C'est
32	.	.	a-
=31	=31	=31	=31
8	.	.	-vec
16	.	.	ces
16	.	.	fo-
8	.	.	-mules
