=1	=1	=1	=1
32	0	0	R
=2	=2	=2	=2
32	0	0	R
=3	=3	=3	=3
32	0	0	R
=4	=4	=4	=4
32	0	0	R
=5	=5	=5	=5
32	0	0	R
=6	=6	=6	=6
32	0	0	R
=7	=7	=7	=7
32	0	0	R
=8	=8	=8	=8
32	0	0	R
=9	=9	=9	=9
32	0	0	R
=10	=10	=10	=10
32	0	0	R
=11	=11	=11	=11
32	0	0	R
=12	=12	=12	=12
32	0	0	R
=13	=13	=13	=13
8.	0	0	R
32	0	0	R
*>Verse1	*>Verse1	*>Verse1	*>Verse1
32	1	0	Vieux
4	0	0	R
8.	0	0	R
32	0	0	R
16	0	0	t'as
16	0	0	é-
16	0	0	-té
16	0	0	par-
32	0	1	-fait
=14	=14	=14	=14
32	0	0	R
16	0	0	ou
16	0	0	im-
16.	0	0	-par-
16.	0	1	-fait
16	0	0	à
16.	0	0	pré-
16	0	0	-sent
8	0	0	je
16	0	1	fais
16.	0	0	R
16	1	0	J'suis
16	0	0	mi-
32	0	0	-neur
=15	=15	=15	=15
16	0	0	R
16	0	0	j'ai
16	0	0	Mon-
16	0	0	-ta-
16.	0	0	-na
32	0	0	No-
16	0	0	-rie-
16	0	0	-ga
16	0	0	dans
16.	0	0	l'cer-
32	0	1	-veau
16	0	0	R
16	0	0	R
32	1	0	Un
16	0	0	des
16	0	0	jeu-
32	0	1	-nots
=16	=16	=16	=16
16	0	0	R
16	0	0	qui
16	0	0	pour
16	0	0	la
16	0	0	maille
16	0	0	au
16	0	0	vice
16	0	0	est
16.	0	0	de-
16.	0	0	-v'nu
16	0	1	pro
16.	0	0	R
16	1	0	Trop
16.	0	0	d'blèmes-
=17	=17	=17	=17
16	0	1	pro
16	0	0	dans
16	0	0	mes
16	0	0	pro-
8	0	1	-pos
16	0	0	j'me
16	0	0	la
16	0	0	joue
8	0	0	es-
16	0	1	-croc
16.	0	0	R
32	1	0	De-
16	0	0	-vant
16	0	0	les
=18	=18	=18	=18
8	0	0	flics
16.	0	0	j'vais
16	0	0	o-
16.	0	1	-ser
16.	0	0	à
16	0	0	la
16	0	0	Key-
16.	0	0	-zer
16.	0	0	Sö-
16.	0	1	-ze
32	1	0	L'art
32	0	0	du
16	0	0	Nei-
=19	=19	=19	=19
8	0	1	-man
32	0	0	fait
32	0	0	qu'mes
16	0	0	Shei-
8	0	1	-tan
16	0	0	pla-
16	0	0	-ne
16	0	0	moins
16	0	0	en
16	0	0	bé-
16	0	1	-can
8	0	0	R
16	1	0	Tu
16	0	0	nous
=20	=20	=20	=20
8	0	1	testes
16	0	0	on
16	0	0	te
8	0	1	tanne
16	0	0	tu
16	0	0	con-
8	0	1	-teste
16	0	0	on
16	0	0	te
8.	0	1	canne
16	1	0	A-
=21	=21	=21	=21
16	0	0	-lar-
16.	0	1	-mé
32	0	0	tire
32	0	0	l'a-
8	0	1	-larme
16	0	0	et
32	0	0	si
16	0	0	les
16.	0	0	flics
16	0	0	sortent
16.	0	0	leur
8	0	1	armes
16	1	0	Comme
16	0	0	à
=22	=22	=22	=22
8.	0	1	Parme
16	0	0	Pa-
8.	0	0	-lerme
16	0	0	le
16	0	1	drame
16	0	0	a
16	0	0	son
16	0	1	charme
16	0	0	R
16	1	0	Loi
16	0	0	du
16	0	0	plus
=23	=23	=23	=23
16	0	1	ouf
16	0	0	tu
16	0	0	dis
16	0	0	pas
8	0	1	ouf
16	0	0	on
16	0	0	s'en
16	0	1	fout
16	0	0	on
16	0	0	te
16	0	1	fout
16	0	0	R
16	1	0	J'ai
16	0	1	faim
16	0	0	et
=24	=24	=24	=24
16	0	0	comme
16	0	0	dit
16	0	0	Ah-
16	0	0	-med
8	0	0	R
16	0	0	Un
16	0	0	pour
8	0	0	tous
16	0	0	tous
16	0	0	sur
16	0	1	un
32	1	0	E-
32	0	0	-le-
16	0	0	-vé
16	0	0	au
=25	=25	=25	=25
8.	0	1	Rap
16	0	0	Ra-
16	0	0	-gga
8	0	1	rate
32	0	0	au
16	0	0	ze-
16	0	0	-tla
32	0	0	à
8	0	0	la
8.	0	1	tape
16	1	0	Aux
=26	=26	=26	=26
16	0	0	soi-
8	0	1	-rées
16	0	0	ci-
8	0	1	-té
16	0	0	ci-
16	0	1	-né
8	0	0	R
16	0	0	sé
16	0	0	-ries
16	0	0	té-
16	0	1	-lé
16	1	0	Où
16	0	0	les
=27	=27	=27	=27
16	0	0	autres
16	0	0	ont
16	0	0	é-
16.	0	0	-té
16.	0	1	pris
32	0	0	tu
32	0	0	ve-
6.4	0	0	-rras
32	0	0	j'ré-
16	0	0	-u-
8	0	1	-ssi
16	1	0	Je
16	0	0	s'rai
16	0	0	ce-
=28	=28	=28	=28
16	0	0	-lui
16	0	0	qui
16	0	1	brille
16	0	0	et
8.	0	0	claque
16	0	0	en
16	0	0	pleine
16	0	0	pé-
16	0	0	-nu-
16	0	1	-rie
8	0	0	R
16.	1	0	Je
32	0	1	ris
=29	=29	=29	=29
16	0	0	R
16	0	0	de
16	0	0	tes
16	0	0	faux
16	0	1	pas
16	0	0	main-
16	0	0	-t'nant-
16	0	0	le
16	0	0	monde
16	0	0	est
16	0	0	à
16	0	1	moi
4	0	0	R
=30	=30	=30	=30
1	0	0	R
=31	=31	=31	=31
1	0	0	R
=32	=32	=32	=32
1	0	0	R
=33	=33	=33	=33
1	0	0	R
=34	=34	=34	=34
1	0	0	R
=35	=35	=35	=35
2	0	0	R
4	0	0	R
16	0	0	R
*>Verse2	*>Verse2	*>Verse2	*>Verse2
16	1	0	Je
16	0	0	veux
16	0	0	ren-
=36	=36	=36	=36
16	0	1	-trer
16	0	0	dans
16	0	0	les
16	0	0	soi-
16	0	1	-rées
16	0	0	le
16.	0	0	schlass
16	0	0	dans
16	0	0	la
16	0	0	po-
16	0	0	-che
32	0	0	pour
8	0	0	char-
8	0	1	-cler
=37	=37	=37	=37
16	1	0	Pé-
16	0	1	-ter
16	0	0	les
16	0	0	pé-
16.	0	1	-tasses
32	0	0	à
16	0	0	la
6.4	0	1	pelle
16	0	0	comme
16	0	0	E-
16	0	0	-ddie
16.	0	0	Bar-
8	0	1	-clay
=38	=38	=38	=38
32	0	0	R
16	1	0	Rap
16	0	0	à
16	0	0	fond
16	0	0	dans
16	0	0	ma
8	0	0	caisse
8	0	0	large
16	0	0	a-
16	0	0	-vec
16	0	0	mes
32	0	0	potes
8	0	1	capte
=39	=39	=39	=39
8	0	0	un
16.	0	1	spot
32	0	0	de
16	0	0	hasch
16	1	0	E-
16	0	0	-stou-
32	0	0	-ffer
16.	0	0	les
16.	0	0	pouffes
16	0	0	que
16	0	0	je
16.	0	0	ki-
8	0	1	-dnappe
=40	=40	=40	=40
8	0	0	R
32	0	0	R
32	0	1	blattes
16	0	0	R
16.	0	0	R
16	0	0	dans
16	0	0	mon
16	0	0	a-
8.	0	1	-ppart
16	1	0	Je
16	0	0	re-
16	0	0	-ve
16	0	0	de
32	0	0	sa-
=41	=41	=41	=41
16	0	0	-brer
16	0	0	le
16.	0	0	Mo-
16.	0	0	-ët
16.	0	0	pète
32	0	0	chie
16	0	0	le
16	0	0	cul
16	0	0	po-
16.	0	0	-sé
16.	0	0	sur
16	0	0	du
8	0	0	marbre
=42	=42	=42	=42
16	1	0	Ca-
16	0	0	-si-
16.	0	0	-no
8	0	0	black
8	0	0	jack
16.	0	0	sapes
16	0	0	blin-
16	0	0	-dées
16	0	0	au
8	0	1	schnaps
16	1	0	Jou-
16	0	0	-er
=43	=43	=43	=43
