**recip	**break	**rhyme	**lyrics
=13	=13	=13	=13
8.	.	.	.
32	.	.	.
*>Verse1	*>Verse1	*>Verse1	*>Verse1
32	4	.	Vieux
4	.	.	.
8.	.	.	.
32	.	.	.
16	.	.	t'as
16	.	.	é-
16	.	.	-té
16	.	A	par-
32	.	A	-fait
=14	=14	=14	=14
32	.	.	.
16	.	.	ou
16	.	.	im-
16.	.	A	-par-
16.	.	A	-fait
16	.	.	à
16.	.	.	pré-
16	.	.	-sent
8	.	.	je
16	.	A	fais
16.	.	.	.
16	4	.	J'suis
16	.	.	mi-
32	.	.	-neur
=15	=15	=15	=15
16	.	.	.
16	.	.	j'ai
16	.	.	Mon-
16	.	.	-ta-
16.	.	A	-na
32	.	.	No-
16	.	.	-rie-
16	.	A	-ga
16	.	.	dans
16.	.	.	l'cer-
32	.	A	-veau
16	.	.	.
16	.	.	.
32	4	.	Un
16	.	.	des
16	.	.	jeu-
32	.	A	-nots
=16	=16	=16	=16
16	.	.	.
16	.	.	qui
16	.	.	pour
16	.	.	la
16	.	.	maille
16	.	.	au
16	.	.	vice
16	.	.	est
16.	.	.	de-
16.	.	.	-v'nu
16	.	A	pro
16.	.	.	.
16	4	A	Trop
16.	.	.	d'blèmes-
=17	=17	=17	=17
16	.	A	pro
16	.	.	dans
16	.	.	mes
16	.	A	pro-
8	.	A	-pos
16	.	.	j'me
16	.	.	la
16	.	.	joue
8	.	.	es-
16	.	A	-croc
16.	.	.	.
32	4	.	De-
16	.	.	-vant
16	.	.	les
=18	=18	=18	=18
8	.	.	flics
16.	.	.	j'vais
16	.	A	o-
16.	.	A	-ser
16.	.	.	à
16	.	.	la
16	.	.	Key-
16.	.	.	-zer
16.	.	A	Sö-
16.	.	A	-ze
32	4	.	L'art
32	.	.	du
16	.	.	Nei-
=19	=19	=19	=19
8	.	A	-man
32	.	.	fait
32	.	.	qu'mes
16	.	.	Shei-
8	.	A	-tan
16	.	.	pla-
16	.	A	-ne
16	.	.	moins
16	.	.	en
16	.	.	bé-
16	.	A	-can
8	.	.	.
16	4	.	Tu
16	.	A	nous
=20	=20	=20	=20
8	.	A	testes
16	.	.	on
16	.	.	te
8	.	A	tanne
16	.	.	tu
16	.	A	con-
8	.	A	-teste
16	.	.	on
16	.	.	te
8.	.	A	canne
16	4	A	A-
=21	=21	=21	=21
16	.	A	-lar-
16.	.	A	-mé
32	.	.	tire
32	.	A	l'a-
8	.	A	-larme
16	.	A	et
32	.	.	si
16	.	.	les
16.	.	.	flics
16	.	.	sortent
16.	.	.	leur
8	.	A	armes
16	4	.	Comme
16	.	.	à
