**recip	**break	**rhyme	**lyrics
=9	=9	=9	=9
2	.	.	.
4	.	.	.
8	.	.	.
32	.	.	.
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	4	.	Dans
32	.	.	ce
=10	=10	=10	=10
32	.	.	.
16.	.	.	rap
8	.	A	biz
8	.	.	.
16	.	.	on
32	.	.	est
32	.	.	a-
16	.	.	-rri-
16	.	.	-vé
16	.	.	les
16	.	.	mains
16	.	.	dans
16	.	.	les
16.	.	A	poches
32	4	.	A
=11	=11	=11	=11
16	.	.	l'é-
8	.	.	-poque
16	.	.	c'é-
16	.	.	-tait
16	.	.	en-
8	.	.	-voie
16	.	A	l'beat
16	.	.	on
16	.	.	fait
16	.	.	l'truc
16	.	.	à
16	.	A	l'a-
8	.	A	-rrache
=12	=12	=12	=12
16.	.	.	.
32	4	.	Et
16.	.	.	laisse
32	.	.	par-
16	.	.	-ler
16	.	.	la
16	.	A	ra-
8.	.	A	-ge
32	3	.	Moi
32	.	.	et
16	.	.	mes
16	.	.	potes
16	.	.	on
16	.	.	veut
16	.	.	gra-
=13	=13	=13	=13
16	.	.	-ver
16	.	.	ca
16	.	.	dans
16	.	.	la
8	.	A	roche
32	4	.	On
32	.	.	a
16	.	.	la
8	.	A	dalle
16	.	.	et
16	.	.	rien
8	.	.	dans
8	.	.	l'bide
=14	=14	=14	=14
8	.	.	.
16	4	.	De-
8	.	A	-puis
16	.	.	le
16	.	.	blaze
16	.	.	a
16	.	.	tour-
16.	.	A	-né
32	.	.	tu
16	.	.	co-
16	.	.	-nnais
16	.	.	la
8	.	A	suite
=15	=15	=15	=15
8	.	.	.
16	4	.	Tout
16	.	.	ca
16	.	.	est
16	.	.	pa-
16	.	A	-ssé
16	.	.	bien
16.	.	A	vite
16	.	.	où
16.	.	.	c'est
8	.	.	qu'j'en
8	.	A	suis?
=16	=16	=16	=16
16	.	.	.
16	4	.	Dans
16	.	.	la
16	.	.	vraie
8.	.	A	vie
8	.	A	oui
16	.	.	c'est
16	.	.	de
16.	.	.	ca
8	.	.	dont
32	.	.	j'parle
16	.	.	.
=17	=17	=17	=17
8	.	.	.
16	4	.	Ce
16	.	.	s'rait
8	.	.	men-
16	.	.	-tir
16	.	.	si
16	.	.	j'di-
16	.	.	-rais
16	.	.	que
16	.	.	c'est
16	.	.	pa-
16	.	.	-reil
8	.	.	.
=18	=18	=18	=18
16	.	.	.
16	4	.	Dé-
16	.	.	-ja
16	.	.	j'suis
16	.	.	moins
16	.	.	sur
16	.	.	la
8	.	.	paille
16	3	.	et
16	.	.	j'suis
16	.	.	sor-
16.	.	.	-ti
16.	.	A	d'mon
16	.	A	trou
=19	=19	=19	=19
16	.	.	.
16	4	.	Voir
16	.	.	du
16	.	.	pa-
16	.	.	-ys
16	.	.	et
16.	.	.	vivre
32	.	.	des
16	.	.	mo-
16	.	.	-ments
16	.	.	fort
16	.	.	a-
8	.	.	-vec
16	.	A	mon
16	.	A	crew
=20	=20	=20	=20
16	.	.	.
16	4	.	Ki-
16	.	.	-ffer
16	.	.	en-
8	.	.	-tre
8	.	A	nous
16.	.	.	.
32	.	.	et
16	.	.	ren-
16	.	.	-dre
16	.	.	fiers
16	.	.	les
16	.	.	no-
16	.	A	-tres
=21	=21	=21	=21
16.	.	.	.
32	3	.	Qui
16	.	.	nous
16	.	.	ont
16	.	.	co-
16	.	.	-nnu
16	.	.	et
16	.	.	sou-
8	.	.	-t'nu-
16	.	.	a-
16	.	.	-vant
16	.	.	tous
16	.	.	les
8	.	A	autres
=22	=22	=22	=22
16	.	.	.
16	4	.	C'est
16	.	.	pour
16	.	.	les
16	.	.	mecs
16	.	.	de
16	.	.	chez
8	.	.	nous
16	.	.	les
16	.	.	é-
16	.	.	-quipes
16	.	.	de
16	.	.	nuit
16	.	.	qui
16	.	.	ba-
=23	=23	=23	=23
8.	.	A	-roudent
16	4	.	Ou
16	.	.	qui
16	.	.	reste
16	.	.	po
16	.	.	-sti-
16	.	.	-chés
16	.	.	au
16	.	.	Q.
16	.	.	G.
16	.	.	en-
16	.	.	-tre
8	.	A	couilles
=24	=24	=24	=24
16	.	.	.
16	4	.	Là
16	.	.	où
16	.	.	j'suis
16	.	.	dans
16	.	.	mon
16	.	.	é-
16	.	.	-lé-
8.	.	A	-ment
16	.	.	là
16	.	.	où
16	.	.	j'ai
16	.	.	telle-
16	.	.	-ment
=25	=25	=25	=25
16	.	.	pa-
8	.	.	-ssé
8	.	A	d'temps
16	3	.	A
16	.	.	ki-
16	.	.	-ffer
16	.	.	rien
8	.	.	faire
16	.	.	j'suis
8	.	.	presque
16	.	.	un
16	.	.	meuble
=26	=26	=26	=26
16	.	.	.
16	.	.	qu'on
16	.	.	peut
16	.	.	pas
16	.	.	dé-
16	.	A	-pla-
8.	.	A	-cer
16	4	.	Comme
16	.	.	une
16	.	.	encre
16	.	.	im-
16	.	.	-po-
16	.	.	-ssible
16	.	.	à
=27	=27	=27	=27
16	.	.	e-
16	.	A	-ffa-
16.	.	A	-cer
32	3	.	Comme
16	.	.	un
16	.	.	tag
16	.	.	à
16	.	.	l'a-
8	.	.	-cide
16	.	.	ou
8	.	.	comme
16	.	.	mon
8	.	A	blaze
=28	=28	=28	=28
16.	.	.	.
32	4	.	Gra-
16	.	.	-vé
16	.	.	à
16	.	.	la
16	.	.	bou-
16	.	.	-gie
32	.	.	sur
32	.	.	les
16	.	.	vi-
8	.	.	-tres
16	.	.	du
16	.	.	.
16	.	A	E
8	.	A	.
=29	=29	=29	=29
16	.	.	.
16	4	.	S.
16	.	.	n.
16	.	.	i.
16	.	.	p.
16	.	A	e.
16.	.	A	r.
32	.	.	a-
16	.	.	-vec
16	.	.	un
16	.	.	pu-
16	.	.	-tain
8	.	.	d'le-
8	.	A	-ttrage
=30	=30	=30	=30
=31	=31	=31	=31
=32	=32	=32	=32
=33	=33	=33	=33
=34	=34	=34	=34
=35	=35	=35	=35
=36	=36	=36	=36
=37	=37	=37	=37
2	.	.	.
4	.	.	.
8.	.	.	.
*>Verse2	*>Verse2	*>Verse2	*>Verse2
16	4	.	Mal-
=38	=38	=38	=38
16	.	A	-gré
16	.	.	tout
16	.	.	c'qui
16	.	.	s'est
16	.	.	pa-
16	.	A	-sseé
16	.	.	j'ai
16	.	.	pas
8	.	.	chan-
4	.	A	-gé
8	4	.	J'suis
=39	=39	=39	=39
16	.	.	tou-
16	.	.	-jours
16	.	.	l'meme
16	.	.	en-
8	.	.	-foi-
8	.	A	-ré
16	3	.	J're-
16	.	.	-tourne
16	.	.	pas
16	.	.	ma
8	.	.	ste-
8	.	A	-ve
=40	=40	=40	=40
8	.	.	.
8.	4	.	Non
16	.	.	j'garde
16	.	.	mes
16	.	.	prin-
8	.	.	-cipes
16	.	.	et
16	.	.	mes
16	.	.	points
16	.	.	d'a-
8	.	A	-ttaches
=41	=41	=41	=41
8	.	.	.
16	4	.	J'kiffe
16	.	.	pas
16	.	.	la
16	.	.	cé-
16	.	.	-lé-
16	.	.	-bri-
8	.	.	-té
16	.	.	j'ra-
16	.	.	-masse
16	.	.	juste
16	.	.	mon
8	.	A	cashe
=42	=42	=42	=42
8	.	.	.
16	4	.	M'faut
16	.	.	mes
32	.	.	points
32	.	.	de
16	.	.	re-
4	.	A	-pères
16	3	.	Si-
16	.	.	-non
16	.	.	j'suis
16	.	.	du-
8	.	A	-per
=43	=43	=43	=43
8	.	.	.
16	4	.	La
16	.	.	mille-
16	.	.	-fa
16	.	.	la
16	.	.	go
16	.	.	les
8	.	.	com-
16	.	A	-pères
16	.	.	c'est
8	.	.	pé-
8	.	A	-père
=44	=44	=44	=44
