=1	=1	=1	=1
2	0	0	R
=2	=2	=2	=2
2	0	0	R
=3	=3	=3	=3
2	0	0	R
=4	=4	=4	=4
2	0	0	R
=5	=5	=5	=5
2	0	0	R
=6	=6	=6	=6
2	0	0	R
16	0	0	R
*>Verse1	*>Verse1	*>Verse1	*>Verse1
16	1	0	Au
16	0	0	dé-
16	0	0	-but
16	0	0	des
16	0	0	a-
16	0	0	nnées
16	0	0	qua-
=7	=7	=7	=7
16	0	0	R
16	0	0	-tre
8	0	0	vingt
16	0	0	R
16	2	0	Je
16	0	0	me
16	0	0	sou-
16	0	0	-viens
8	0	0	des
8	0	0	soi-
8	0	1	-rées
16	2	0	où
=8	=8	=8	=8
16	0	0	l'am-
8	0	0	-biance
16	0	0	é-
16	0	0	-tait
8	0	0	chaude
16	0	0	et
16	0	0	les
8	0	0	mecs
8	0	0	ren-
16	0	1	-traient
8	0	0	R
=9	=9	=9	=9
8	2	0	Stan
8	0	0	Smith
16	0	0	aux
8	0	0	pieds
16	0	0	le
16	0	0	re-
8	0	0	-gard
8.	0	1	froid
16	1	0	Ils
16	0	0	scru-
=10	=10	=10	=10
16	0	0	-taient
16	0	0	la
16	0	0	salle
8	0	0	le
16	0	0	trois-
16	0	0	quart
16	0	0	en
16	0	0	cuir
16	0	0	rou-
16	0	0	-lé
16	0	0	au-
16	0	0	-tour
16	0	0	du
8	0	1	bras
=11	=11	=11	=11
16	1	0	Ray
8	0	0	Ban
16	0	0	sur
16	0	0	la
8	0	0	tete
16	0	0	sur-
16	0	0	-ve-
16	0	0	-te-
16	0	0	ment
16	0	0	Ta-
16	0	0	-chi-
8	0	1	-ni
16	2	0	Pour
=12	=12	=12	=12
16	0	0	les
8	0	0	plus
8	0	0	class
16	0	0	les
16	0	0	mo-
16	0	0	-ca-
8	0	0	-ssins
16	0	0	Né-
16	0	0	-bu-
16	0	0	-lo-
16	0	1	-ni
8	0	0	R
=13	=13	=13	=13
8	1	0	Dès
16	0	0	qu'ils
16	0	0	pa-
8	0	0	-ssaient
16	0	0	Ca-
16	0	0	-me-
8	0	0	-o
16	0	0	Mid-
8	0	0	-night
8.	0	1	Star
=14	=14	=14	=14
16	2	0	S.-
16	0	0	-O.-
16	0	0	-S.
8	0	0	Band
16	0	0	De-
16	0	0	-le-
16	0	0	-ga-
16	0	0	-tion
8	0	0	ou
16	0	0	Sha-
16	0	0	-la-
8.	0	1	-mar
=15	=15	=15	=15
8	1	0	Tout
16	0	0	le
16	0	0	monde
16	0	0	se
8	0	0	le-
16	0	1	-vait
16	0	0	des
16	0	0	cercles
16	0	0	se
8	0	0	for-
8	0	1	-maient
16	2	0	Des
=16	=16	=16	=16
8	0	0	con-
16	0	0	-cours
16	0	0	de
16	0	0	danse
16	0	0	un
16	0	0	peu
16	0	0	par-
16	0	0	-tout
8	0	0	s'im-
8	0	0	-pro-
16	0	0	-vi-
8	0	1	-saient
=17	=17	=17	=17
16	0	0	R
16	1	0	Je
16	0	0	te
16	0	0	pro-
8	0	0	-pose
16	0	0	un
16	0	0	voy-
16	0	0	-a-
16	0	0	-ge
