,**recip,**break,**rhyme,**lyric
10,=6,=6,=6,=6
11,2,0,0,R
12,16,0,0,R
13,*>Verse1,*>Verse1,*>Verse1,*>Verse1
14,16,1,0,Au
15,16,0,0,dé-
16,16,0,0,-but
17,16,0,0,des
18,16,0,0,a-
19,16,0,0,nnées
20,16,0,0,qua-
21,=7,=7,=7,=7
22,16,0,0,R
23,16,0,0,-tre
24,8,0,0,vingt
25,16,0,0,R
26,16,2,0,Je
27,16,0,0,me
28,16,0,0,sou-
29,16,0,0,-viens
30,8,0,0,des
31,8,0,0,soi-
32,8,0,1,-rées
33,16,2,0,où
34,=8,=8,=8,=8
35,16,0,0,l'am-
36,8,0,0,-biance
37,16,0,0,é-
38,16,0,0,-tait
39,8,0,0,chaude
40,16,0,0,et
41,16,0,0,les
42,8,0,0,mecs
43,8,0,0,ren-
44,16,0,1,-traient
45,8,0,0,R
46,=9,=9,=9,=9
47,8,2,0,Stan
48,8,0,0,Smith
49,16,0,0,aux
50,8,0,0,pieds
51,16,0,0,le
52,16,0,0,re-
53,8,0,0,-gard
54,8.,0,1,froid
55,16,1,0,Ils
56,16,0,0,scru-
57,=10,=10,=10,=10
58,16,0,0,-taient
59,16,0,0,la
60,16,0,0,salle
61,8,0,0,le
62,16,0,0,trois-
63,16,0,0,quart
64,16,0,0,en
65,16,0,0,cuir
66,16,0,0,rou-
67,16,0,0,-lé
68,16,0,0,au-
69,16,0,0,-tour
70,16,0,0,du
71,8,0,1,bras
72,=11,=11,=11,=11
73,16,1,0,Ray
74,8,0,0,Ban
75,16,0,0,sur
76,16,0,0,la
77,8,0,0,tete
78,16,0,0,sur-
79,16,0,0,-ve-
80,16,0,0,-te-
81,16,0,0,ment
82,16,0,0,Ta-
83,16,0,0,-chi-
84,8,0,1,-ni
85,16,2,0,Pour
86,=12,=12,=12,=12
87,16,0,0,les
88,8,0,0,plus
89,8,0,0,class
90,16,0,0,les
91,16,0,0,mo-
92,16,0,0,-ca-
93,8,0,0,-ssins
94,16,0,0,Né-
95,16,0,0,-bu-
96,16,0,0,-lo-
97,16,0,1,-ni
98,8,0,0,R
99,=13,=13,=13,=13
100,8,1,0,Dès
101,16,0,0,qu'ils
102,16,0,0,pa-
103,8,0,0,-ssaient
104,16,0,0,Ca-
105,16,0,0,-me-
106,8,0,0,-o
107,16,0,0,Mid-
108,8,0,0,-night
109,8.,0,1,Star
110,=14,=14,=14,=14
111,16,2,0,S.-
112,16,0,0,-O.-
113,16,0,0,-S.
114,8,0,0,Band
115,16,0,0,De-
116,16,0,0,-le-
117,16,0,0,-ga-
118,16,0,0,-tion
119,8,0,0,ou
120,16,0,0,Sha-
121,16,0,0,-la-
122,8.,0,1,-mar
123,=15,=15,=15,=15
124,8,1,0,Tout
125,16,0,0,le
126,16,0,0,monde
127,16,0,0,se
128,8,0,0,le-
129,16,0,1,-vait
130,16,0,0,des
131,16,0,0,cercles
132,16,0,0,se
133,8,0,0,for-
134,8,0,1,-maient
135,16,2,0,Des
136,=16,=16,=16,=16
137,8,0,0,con-
138,16,0,0,-cours
139,16,0,0,de
140,16,0,0,danse
141,16,0,0,un
142,16,0,0,peu
143,16,0,0,par-
144,16,0,0,-tout
145,8,0,0,s'im-
146,8,0,0,-pro-
147,16,0,0,-vi-
148,8,0,1,-saient
149,=17,=17,=17,=17
150,16,0,0,R
151,16,1,0,Je
152,16,0,0,te
153,16,0,0,pro-
154,8,0,0,-pose
155,16,0,0,un
156,16,0,0,voy-
157,16,0,0,-a-
158,16,0,0,-ge
159,16,0,0,dans
160,16,0,0,le
161,4,0,0,vi-
162,=18,=18,=18,=18
163,16,0,0,R
164,8,0,1,-a
165,16,0,0,pla-
166,16,0,0,-nète
167,16,0,0,-te
168,8,0,0,Mar-
169,8.,0,0,-seille
170,16,0,0,Je
171,8,0,0,dan-
172,16,0,0,-se
173,16,0,0,le
174,=19,=19,=19,=19
175,16,0,0,Mi-
176,16,0,1,-a
177,8,0,0,R
178,4,0,0,R
179,2,0,0,R
180,=20,=20,=20,=20
182,=21,=21,=21,=21
184,=22,=22,=22,=22
186,=23,=23,=23,=23
188,=24,=24,=24,=24
190,=25,=25,=25,=25
192,=26,=26,=26,=26
193,2,0,0,R
194,8.,0,0,R
195,*>Verse2,*>Verse2,*>Verse2,*>Verse2
196,16,1,0,Je
197,8,0,0,dan-
198,16,0,0,-se
199,16,0,0,le
200,=27,=27,=27,=27
201,16,0,0,MI-
202,8,0,0,-A
203,16,0,0,-jusqu'à
204,8,0,0,ce
205,16,0,0,que
206,8,0,0,la
207,16,0,0,soi-
208,16,0,0,-rée
209,16,0,0,va-
210,8.,0,1,-cille
211,16,1,0,Une
212,=28,=28,=28,=28
213,16,0,0,ba-
214,16,0,0,-ga-
215,16,0,0,-rre
216,16,0,0,au
217,16,0,0,fond
218,16,0,0,et
219,16,0,0,tout
220,16,0,0,le
221,8,0,0,monde
222,16,0,0,s'é-
223,8,0,0,-par-
224,16,0,1,-pille
225,8,0,0,R
226,=29,=29,=29,=29
227,8,0,0,R
228,16,1,0,On
229,16,0,0,ra-
230,16,0,1,-lait
231,16,0,0,que
232,16,0,0,c'é-
233,16,0,0,-tait
234,16,0,0,nul
235,16,0,0,que
